FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C4_FA (uM)_sigma,C6_FA (uM)_sigma,C8_FA (uM)_sigma,C10_FA (uM)_sigma,C12_FA (uM)_sigma,C14_FA (uM)_sigma,C12_FA_unsat (uM)_sigma,C14_FA_unsat (uM)_sigma
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.11387506503835931,0.24340809700632143,2.387906030573278,1.3620043042190877,10.747099932654628,19.803516604967648,3.0211561271286675,6.651538948993388,0.02941631248490955,0.03885253589261809,0.2533349129273547,0.1553304657435208,1.0591766161935947,1.7261040151596152,0.3347568733756656,0.7467520657268701
1.0,0.1,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03430193129351956,0.06426537319292346,0.5401282217483022,0.28570210937335394,2.516808858351987,9.192145410655735,1.3489979727606174,5.65345322752766,0.014382584141297491,0.0165112062931644,0.06715441863608838,0.041742342872865525,0.30608052049567,0.8572275749505205,0.14530683220060117,0.5146871806437142
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,1.0,500.0,0.008803716437472013,0.015436562903475663,0.1469932236578589,0.10425949152586333,0.9405244552604258,4.50147501305704,0.5823114604074507,4.077469425460453,0.01137739669936817,0.01209647038938961,0.028934891842305202,0.01808480860390629,0.09901685628581786,0.4734729473197696,0.08151722358057446,0.39000751446441884
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,100.0,500.0,2.4789417760343784,2.885480563593315,16.17745979972752,9.590217146084251,33.05648943220161,14.295784621702564,5.4987454083726846,3.0752099212734483,0.23280027949625,0.3124925796866589,1.5775219801587383,1.0409880330597938,2.9024346286149942,1.3828131719592849,0.5600896217397232,0.3224842033500422
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,50.0,500.0,1.2994144283790052,1.647354206085834,9.341674118237028,5.084322430379062,27.684694302192916,17.62147316255152,5.567055591890985,4.666665555768922,0.1295016138386073,0.17932940038768982,1.068563558989152,0.6535671277507022,2.3201764988224336,1.7222407805553384,0.5138770951405626,0.49113824141125356
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,100.0,10.0,500.0,0.4196955596279757,0.5803829516355712,2.901573062374589,1.897100819114751,4.9256776405397416,3.59555850451976,0.9367554015765153,0.9313425213316912,0.05727335370576055,0.07286388882382763,0.32192127259269837,0.2094536907768444,0.6238670531323685,0.3848695180761372,0.10590784046603828,0.08681940540442033
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,20.0,500.0,0.4706297582868396,0.6598111746586524,4.737884534972017,2.884651087666804,16.774706451763965,16.8965676626139,3.898639932929772,6.112643521354289,0.0531889569402156,0.07338074464705538,0.5005307161031941,0.31211599902771975,1.613531112541418,1.840338214473891,0.4143037090806048,0.681325965114135
1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,500.0,10.0,500.0,0.690643147346523,1.2815301730101214,6.861962225253215,3.9298548502381765,12.669048927696318,5.917853757372181,5.910052702093096,3.5445102561797093,0.08526120457369084,0.11902227209937548,0.7718178578842642,0.38283633556982855,1.3211001418054147,0.620490031524622,0.6356253418378258,0.3669564821112911
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,50.0,10.0,500.0,0.5209742630305815,0.6269692128200182,1.9652411480040486,2.1767448092942185,3.5679778958998014,0.86215504341127,0.37828045258697185,0.12216168823411014,0.06350783241937706,0.0715860031399893,0.23293901800808425,0.20494148584968086,0.3766375408192336,0.11995460455841124,0.04964836334729769,0.025049233184180973
1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,500.0,10.0,500.0,0.049233444587778376,0.03478158533199176,0.33477560085161184,0.23268502334946267,1.8691199207652953,14.445258845576257,0.2711851341084797,5.800225774605227,0.01241120479173385,0.01360103981655626,0.039582312024927714,0.03305738759644315,0.1952307934633601,1.6124205273540855,0.035064322921579606,0.5637372105232502
