FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.2074638459647951,0.3083164832882231,2.588890167153902,1.9165676586263378,14.039902149044684,24.798343231501484
1.0,0.1,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.04509953487073024,0.0670188500688728,0.5879541187777757,0.4542099322430608,4.329261436971396,13.609265490883152
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,1.0,500.0,0.016675859496242305,0.025327371219764822,0.22834447004784428,0.17679014843651628,1.93044434091197,9.643537296643434
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,100.0,500.0,2.2593957491067154,3.0724574039407093,15.685481975303661,10.183420823332398,32.271250521894686,19.06958091546422
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,50.0,500.0,1.2145923438894803,1.7210016138474888,10.69152336542682,6.8711823831981,26.546713693322655,23.31825282565632
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,100.0,10.0,500.0,0.4845523816591084,0.6441031154689147,3.179687037635509,2.0282902665577596,6.855226117562001,4.684967132413962
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,20.0,500.0,0.44904829755524245,0.6590111727712574,5.0753206892062135,3.5704593038912655,19.766272275738682,25.375643218640725
1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,500.0,10.0,500.0,0.7766460735452393,1.1245819372379118,7.825379618915722,5.078469402702191,18.779694062882637,9.454696949897816
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,50.0,10.0,500.0,0.5469119820231226,0.6338644615431861,2.2893736161486236,1.7941904360931884,3.9710383390054766,1.3979619299933201
1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,500.0,10.0,500.0,0.025424522964611854,0.0379198340637906,0.30708265458150824,0.23419050489784118,1.9974521366759028,21.6880931192492
