FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C4_FA (uM)_sigma,C6_FA (uM)_sigma,C8_FA (uM)_sigma,C10_FA (uM)_sigma,C12_FA (uM)_sigma,C14_FA (uM)_sigma
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.26609619441866567,0.2780277219488651,2.1601817574895437,1.8932601765181643,13.062767046977628,20.376878728476242,0.030746384596479513,0.04083164832882231,0.2688890167153902,0.20165676586263379,1.4139902149044685,2.4898343231501485
1.0,0.1,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.041869215107270284,0.07131215951136514,0.5909940856725221,0.37899809494844805,5.2328761236699455,13.10528357707993,0.01450995348707302,0.016701885006887282,0.06879541187777757,0.05542099322430608,0.4429261436971396,1.3709265490883153
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,1.0,500.0,0.03525380961072658,0.022522991881684513,0.22928373601712249,0.16845789786318766,2.0723822276512966,9.406630546799411,0.011667585949624231,0.01253273712197648,0.03283444700478442,0.027679014843651623,0.20304443409119702,0.9743537296643434
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,100.0,500.0,2.3367523625259543,2.652380350417354,14.18818593035571,12.5150229959775,30.708925187298192,22.05640243731941,0.2359395749106716,0.31724574039407094,1.5785481975303661,1.0283420823332399,3.2371250521894686,1.916958091546422
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,50.0,500.0,1.2285125056800437,1.4128292031080771,12.4030719666557,6.730600391725352,24.66466943046206,24.82713162088991,0.13145923438894805,0.1821001613847489,1.079152336542682,0.69711823831981,2.664671369332265,2.341825282565632
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,100.0,10.0,500.0,0.44921132116546314,0.8054104069998123,2.4524607281529263,2.1465868744645475,7.80136809626718,5.18936720332375,0.05845523816591085,0.07441031154689147,0.3279687037635509,0.21282902665577602,0.6955226117562001,0.4784967132413962
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,20.0,500.0,0.4811514718634024,0.8189903894070628,4.3724710516546565,4.19149447609889,15.697867270726574,28.105945062663668,0.05490482975552424,0.07590111727712574,0.5175320689206214,0.36704593038912653,1.986627227573868,2.5475643218640727
1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,500.0,10.0,500.0,0.8542103201764886,1.227950096015861,7.812454235326899,4.656301200461013,18.20659061450132,10.46282200588874,0.08766460735452393,0.12245819372379117,0.7925379618915722,0.5178469402702192,1.8879694062882642,0.9554696949897816
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,50.0,10.0,500.0,0.5219784927288479,0.5751024023279886,2.1987509867590447,1.8258293484182733,4.4202363675124525,1.379395872166797,0.06469119820231227,0.07338644615431861,0.23893736161486243,0.18941904360931885,0.4071038339005477,0.149796192999332
1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,500.0,10.0,500.0,-0.01247364797666978,0.031800146523130964,0.34574781298942525,0.13383841371722346,2.2014781454124996,19.878664959479348,0.012542452296461181,0.01379198340637906,0.04070826545815082,0.033419050489784115,0.2097452136675903,2.17880931192492
