FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.17868729631634264,0.2644169444056139,56.70324353941999
1.0,0.1,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.04605427199025713,0.06831828697421498,24.574517982444934
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,100.0,500.0,2.222362443394821,3.044561625810188,102.7704403435752
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,1.0,500.0,0.012415308186917124,0.0184825649209495,12.730214519289685
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,50.0,500.0,1.1457825981934266,1.632572379009184,90.48593310299802
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,100.0,10.0,500.0,0.4811548520564426,0.6622094887509505,23.659923642707
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,50.0,10.0,500.0,0.5932104299727062,0.7154873048948313,12.996654514495642
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,20.0,500.0,0.40355356956277344,0.5923750990098126,72.10058443207323
1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,500.0,10.0,500.0,0.026360187459961937,0.0393035063419365,31.83847341285002
1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,500.0,10.0,500.0,0.8593986620641978,1.2444414859903628,53.83185766346504
