FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.01335152115434857,0.02071778110327004,0.18096434451183072,6.694690640876395
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253834771610627e-06,8.649882750178848e-08,2.909981290994553e-09,5.633073267445122e-12
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594271239441466e-05,5.02349634188368e-06,1.2421497437898502e-06,2.269198438903356e-08
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290482886154792e-05,6.131041828020933e-06,1.7287795808620459e-06,4.499219136046398e-08
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428513430081858e-05,2.547294913028347e-05,1.0211179119456176e-05,4.0947156091646315e-07
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011736197419684895,4.809522474430541e-05,3.555216636091069e-05,2.811478480823043e-06
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024969863053626585,0.0001415755495250457,0.00017211201258432598,2.357221748662714e-05
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002766935046080849,0.0001778882486308462,0.00024019985071167149,3.749364472877491e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00045994017975768925,0.0003547591876812569,0.0006562430133741255,0.00015099987068221117
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008014998254554133,0.0007760927285416723,0.0017572072561493064,0.0004560994487303048
