FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.038499036633887186,0.058547625778392134,0.5286872095545504,0.24655594962245378,12.239138234216405,7.224738104320591
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253818582700694e-06,8.649885173291449e-08,2.9099030197746308e-09,1.429529957453829e-12,2.0669472055158047e-14,1.4275963051097286e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159432750794206e-05,5.02351023780444e-06,1.2421523292976545e-06,5.028239063270455e-09,6.740589166979996e-10,5.643479953277562e-10
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905087701631186e-05,6.131115921770753e-06,1.7288059462905573e-06,7.764129603626142e-09,1.4114702638832302e-09,8.81601751211466e-10
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707464940367135e-06,8.49866577388014e-08,2.963465495181992e-09,1.509725837208138e-12,1.2842293696991228e-08,1.5475564924348246e-14
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428827937882058e-05,2.547427764530271e-05,1.0211871527979423e-05,7.488074744316464e-08,1.9848427284681213e-08,1.3084719585186874e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738474385111213,4.810850133139931e-05,3.5564245615520287e-05,4.332055681826575e-07,2.3402679265877532e-07,1.3942787522298907e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498796161639638,0.0001417220449639898,0.00017233254369514154,3.4516553445045006e-06,3.265224524403729e-06,2.6722204177702416e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027698495773136647,0.0001781491570980629,0.00024063749933327257,5.563872654165307e-06,5.8326284545426965e-06,3.677455793342234e-06
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004609816527122436,0.000355854823274113,0.0006587563085562298,2.0102695351009538e-05,3.0461999816640607e-05,1.7867689943532773e-05
