FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.042264157027155094,0.06411399824478707,0.5763003325110398,0.4282510105538346,21.218056488736583
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825340876096151e-06,8.649805587460612e-08,2.908450869169493e-09,3.1602928257920582e-12,7.062166082628046e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159420915643747e-05,5.023501213380218e-06,1.2420807514253423e-06,1.146148422553847e-08,1.6882039227759202e-09
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770575947110696,0.00017821039495032273,0.0002407325322809215,1.3604632616559578e-05,1.3889798882500861e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004613760941063039,0.0003562401976072104,0.000659538901210941,5.4255702125297744e-05,8.054301902455684e-05
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074251018928164e-06,8.498580944058882e-08,2.9631584042279458e-09,3.2770057217388884e-12,4.278907220002341e-12
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016494968912681494,0.002179465293322004,0.008697304260986836,0.0016460840987270557,0.004832053731383331
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022659831713841803,0.0033429965569189983,0.015314702200961573,0.003320588766279788,0.010329199253833948
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0028919481366365797,0.004783282226658276,0.033395325371287726,0.014228291100758175,0.11661911181460749
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,0.005706510062628626,0.010358425571457653,0.0844959798117305,0.04706294485144562,1.011966816190815
