FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03337832039626558,0.051380294279506106,0.4719658287770827,0.2201004397484179,2.326487441081478,7.410729101140511,1.3441813837039296,4.137734130720969
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159432324000107e-05,5.023511295679896e-06,1.2421455772583844e-06,5.0281235811945535e-09,3.877470652985292e-10,6.3484285395594e-13,3.236371199018548e-10,3.32212474764096e-13
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.29050856886703e-05,6.131115311263289e-06,1.7288046582558044e-06,7.764076012781003e-09,6.536299487018375e-10,1.3495951087381767e-12,4.084523916953176e-10,5.151496119526363e-13
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428829858011165e-05,2.5474286063493735e-05,1.021187904043926e-05,7.488075294978693e-08,8.674468134700297e-09,2.8436040933183578e-11,5.725454960082313e-09,1.3063370366483322e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738497956110431,4.810864206974695e-05,3.556437793548626e-05,4.3320654850925783e-07,1.0583265867834435e-07,6.85330720755252e-10,6.342479639600466e-08,2.4141262847404774e-10
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024988307242852233,0.0001417249594361791,0.0001723371639955567,3.4517461654699127e-06,1.5422534963272833e-06,1.8686573413790147e-08,1.2698547038295193e-06,9.063486527698842e-09
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769914676145053,0.00017815515242351277,0.00024064792283192755,5.564112624068276e-06,2.712170041117973e-06,3.6215101641649275e-08,1.7227021585155653e-06,1.3393546648133195e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004610183250798474,0.00035589390331271513,0.0006588476038920796,2.010541130860073e-05,1.4556851911974484e-05,2.7787852862227085e-07,8.616134674793814e-06,8.660805286344156e-08
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050969442735782,0.0007807730056352192,0.0017703759041232288,7.323898937016219e-05,5.967426426135599e-05,1.335654821333661e-06,3.9480303871288065e-05,5.442535357885009e-07
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993293806767972,0.0010016581959366975,0.003089307746259606,0.0001661273622922256,0.00020944573577381422,7.389242653792323e-06,0.00013178815626931675,2.519944867619581e-06
