FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03776543083931474,0.05797328068175313,0.529518435223434,0.3968048307403412,4.1538023365639685,13.076623740847731
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594323256647445e-05,5.023509233247505e-06,1.2421522353557786e-06,1.1464701450391424e-08,8.680836335039809e-10,1.3850964095820394e-12
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290510740272373e-05,6.131122030539548e-06,1.7288082168450526e-06,1.7797255088928483e-08,1.4673614151242466e-09,2.971233432897436e-12
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707465915593029e-06,8.498669901063398e-08,2.963467594302443e-09,3.2532040343935364e-12,2.216148730377989e-09,1.7554474540841876e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428833849374072e-05,2.5474304075422543e-05,1.0211883746380535e-05,1.4772386663785713e-07,1.6716962857620966e-08,5.368542307229417e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738981446595639,4.811146435265012e-05,3.556689012340627e-05,1.0319845926980407e-06,2.4638267648213807e-07,1.5611025725069489e-09
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024990464314250655,0.0001417418763372501,0.0001723601867849189,8.756978387340366e-06,3.7991478985773212e-06,4.477146303835201e-08
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027706657636936914,0.00017821901296220037,0.0002407453287980225,1.3605519995880596e-05,6.4833180818275005e-06,8.463463015718472e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004614363581762344,0.0003563051537638787,0.0006596897707014669,5.426777355875637e-05,3.864819833904577e-05,7.233127625448491e-07
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061389718536002,0.0007819892419237928,0.0017732059242241947,0.00017123671887706414,0.00013611252567189647,2.967258566492151e-06
