FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.036310762986570794,0.0558744827026192,0.5122544566470142,0.3850925037111775,4.026010921760079,6.454420101068712,5.56012241510228
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,0.002713501042194157,0.004275512578308706,0.022915524575498863,0.0061088469051915565,0.013491305372341927,0.0006967491594398109,1.1524071693726915e-05
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.0059753140299397475,0.011217893999369498,0.09817895107939069,0.058013728655814736,0.3392710940065136,0.09151684287018237,0.009831586703461716
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008627012341145405,0.01565842480942815,0.14368560458329596,0.09791766264908928,0.7647371799824093,0.4646324270992828,0.11688657164107379
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.01191422609377236,0.019941487667400424,0.18307482561801156,0.1309918226093487,1.1633304924408463,1.1717777181047877,0.5559962350397756
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.00814005666886742,0.014925814103309037,0.1359173711672249,0.0899253068669681,0.7006648618322839,0.48839671472266527,0.2076204775322326
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235341794365427,0.1984929892740973,1.7351282976005202,1.273556239591155,10.507064677169673,10.91681360805621,4.116036420654163
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.012757880498850682,0.021452734196515257,0.19940244639600394,0.1428071111364822,1.3563750577427378,1.815311265131039,1.527047414683075
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02868362912041601,0.04449238007218366,0.40772567379973446,0.30453776853136416,3.09884341746113,4.666382957653099,3.6381095554347467
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015224394632326941,0.02484892186505897,0.23285416681450605,0.17108513017693713,1.7560290890329584,2.7943628345140294,3.2243363624173034
