FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03193759569379301,0.0492908544920994,0.45455698449021276,0.21270585807831158,2.244939308278539,3.591860310968113,3.0047373466657827,0.1601636458703758,1.3056909546893867,2.049114489823639,1.1670948608837197,0.47932751177940686
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,0.006006768799312988,0.01146642988300345,0.1010769667527588,0.025315652632464207,0.14242183729768487,0.03530357847620074,0.003256157840024968,1.5974377968507783e-05,0.10583811797404298,0.01626879126794417,0.001049880147597079,3.6240612118080214e-05
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.00819581290064702,0.015155621702012866,0.14219402167050044,0.03925785411066812,0.30539488077860455,0.1766497750385285,0.040099228783635685,0.00045690672937474694,0.33428637171654346,0.12234878356520273,0.018024116044994147,0.0014795843524823406
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010944536814455176,0.018594681809961763,0.17399451614563854,0.05924995648531885,0.5308614093958395,0.5263622030506948,0.23493505748787893,0.005735564603564765,0.5219706137927926,0.36107591394161703,0.10009501756274666,0.016435429869861785
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.0077255236318494866,0.014401319525285314,0.13451990257465474,0.04238830146949266,0.33325195206394936,0.21980007660426812,0.077634236055002,0.0015292489509407103,0.260833384676338,0.10970849092249557,0.02229998167157674,0.003007180248494663
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.00925226747109584,0.016559107302812685,0.15832965720374526,0.05832894572164235,0.5271628407400948,0.579803155632045,0.36184758897133074,0.012522258372718866,0.39344252193054435,0.3082379392531866,0.10734900552493204,0.025916232513768973
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011453921026658806,0.01954768313646447,0.18512859935137338,0.06284857353110011,0.6025668764805017,0.8067071667360094,0.6362535602932926,0.029930471015497527,0.607430614867353,0.6414756313021657,0.29091732069117837,0.09198281808559267
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025591031353863942,0.03984081763111677,0.36744465448173297,0.1555200697680651,1.5957708082268693,2.402175074233295,1.8226011955318862,0.08660280345796326,1.1705172965834296,1.679162913488908,0.8760852892984894,0.3142822752957216
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12066772565925128,0.18117485697328256,1.591258431334752,0.821863776739396,6.791269312066535,6.906943831107428,2.5475821220240027,0.05506603571898106,3.103847875142739,3.083751463407079,0.8976429152979838,0.1508804179569384
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.01336165615045913,0.022036312368731378,0.20937986557887153,0.07951540546557767,0.8228829800885326,1.315625608303868,1.4327361826028064,0.10262618311198277,0.691017319185172,0.9928682035548179,0.6277730325815607,0.3160190912641476
