FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03631076053778433,0.05587387922451994,0.5122952543216351,0.3852579472524934,4.026945861655469,6.447268225196082,5.240344645383631,0.2687847662173739
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005975802992762411,0.011218936376076882,0.09819500848788407,0.05802765940486243,0.33937923789872404,0.0915365116294223,0.00905344031456734,4.619552311745014e-05
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008630048376617863,0.01566358262289574,0.14375337393316864,0.09799071577632087,0.7654792757032256,0.46491158217116657,0.11070871140773662,0.0013160716976936783
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011924308812560942,0.019958636777886913,0.18326992717050036,0.13119284925465421,1.165384279114699,1.1731206521045787,0.5268941654131908,0.012861039673666606
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.008147445806579893,0.014937664170286491,0.1360578529567721,0.09007338300332178,0.7026179626761688,0.49001738937852246,0.18915206013029345,0.004059565217045251
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.010129034260182709,0.017819013379878425,0.16650891547357027,0.11641117892219885,1.0368803583927149,1.1682608659111058,0.7490667608418861,0.026434882166587702
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.01276416266100638,0.021466088867221844,0.19960677417612915,0.14309252789339258,1.3598610706424281,1.8198311633764541,1.4156022275033218,0.06519378060008865
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1323570944865531,0.19849889334592885,1.7351986211161796,1.273715540012688,10.506888806262303,10.912023419682326,4.0197146295474235,0.08585802659080083
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.028694792557847112,0.04450868095332991,0.40790807233896625,0.3047970223459562,3.1007447322778305,4.66355864926718,3.4438942568302533,0.15793304474959427
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015227595463740433,0.02485411005516932,0.232957036230197,0.17131455497064516,1.7586656498333388,2.7974792521731917,2.948738108756953,0.20218228260079912
