FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03190191540396194,0.049238414265149896,0.4540954516180622,0.2124984837536908,2.242813435158987,3.58941300407063,3.0029574093332156,0.15531013813847983,0.004363132664275399,1.3048095338676646,2.048290707387585,1.1666497553969546,0.3848329076437242,0.0808528341709996
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.0077255620134801415,0.014401428805673747,0.13452157054819894,0.04238943960673971,0.3332690230948244,0.21981661309585196,0.07762868033256966,0.0014350655430125632,1.2512627610625001e-05,0.26085293152908356,0.10971757178103135,0.022300204783077395,0.0022332182672234226,0.0001365153211752397
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.009251426804068957,0.016558514350675003,0.1583298666787266,0.05833215326681745,0.5272128601820256,0.5798993895150139,0.36178803284238137,0.01195377734026984,0.00018864876545606146,0.39350596707264907,0.3082959800876057,0.10734722408673393,0.019311408524704633,0.002152400779919208
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011448544435514976,0.019541742536199832,0.185094579278418,0.0628461391106219,0.6025726791012243,0.8068405780224582,0.6361108114914698,0.028695766994774996,0.0006340582582201668,0.6075106529447538,0.6416163102621324,0.2909007654395484,0.06942537859771616,0.010304892836422446
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12065690340484075,0.18115911806332077,1.5911277490851243,0.8218086185217768,6.790869488500808,6.906692826906282,2.547496960220913,0.05440933527347611,0.0006068286566313502,3.103716716900956,3.0836833713326532,0.8976215245950657,0.1374252605788828,0.01168527365013589
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025568544630580413,0.039808594958099165,0.36717121619110465,0.15542044680173597,1.5947859103189737,2.40126899304234,1.8218693060780573,0.08418843802005586,0.00206631837156569,1.1700341763971664,1.6788315201861457,0.875859521172682,0.2563217145331848,0.04636148679115741
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.01333815344000475,0.02200457690259885,0.20912760016899973,0.07944691850052701,0.8221789122963891,1.3152467811700101,1.431795281045807,0.09780328002877244,0.003501353960995776,0.690685389895323,0.9928827793790724,0.6275915368644676,0.22945554107914928,0.05653190527711454
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03190191540418491,0.049238414265453466,0.4540954516205044,0.21249848375461902,2.242813435168072,3.589413004080051,3.002957409335169,0.155310138138242,0.004363132664260159,1.3048095338712025,2.0482907073908527,1.1666497553984039,0.38483290764415123,0.0808528341710756
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.02852875505290347,0.043944924317571396,0.4057175045579897,0.1992007930505311,2.1587989255319497,3.620795623810015,3.4826039303040095,0.21269830598313738,0.00712118146306319,1.080995548379499,1.765760442337575,1.1093699850928607,0.4124703481333998,0.10137550338380137
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09578743555411122,0.14358372988702828,1.2895177593874831,0.7455374200390721,7.425746925186593,11.25795567110376,8.254022229471962,0.39804448842407186,0.011065808818493986,2.435710984882752,4.078390809375268,2.261581682101428,0.7562207116431499,0.16515035818986154
