FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03631063233785203,0.05587359136775044,0.5122915140045479,0.38525635049830803,4.026893402473448,6.4470761772304135,5.239713704258111,0.26115505054751265,0.0070327749246739705
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008630064620394548,0.015663607101799714,0.14375367002134193,0.09799103358503039,0.7654831435279708,0.4649137622579897,0.11070794122686278,0.0012743383956981336,6.77775090200255e-06
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011924435008074283,0.01995884020242116,0.18327196776933805,0.13119465340032488,1.165403662402779,1.1731409187421251,0.5268790487261082,0.012501471822146719,0.00013990905543831013
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.008147516504253247,0.014937768557452578,0.13605896123459152,0.09007446175464273,0.7026348652603274,0.49003653419273396,0.18914786716220586,0.00383869087690586,3.6401915471619463e-05
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.010129234000867893,0.017819358621756265,0.16651260912448268,0.11641451135861912,1.0369235497093405,1.168336019181811,0.7490247789472742,0.025347555927873924,0.0004079431719189205
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.01276432940444858,0.02146644283634206,0.1996112338360271,0.14309744934905685,1.3599194350241057,1.8199463025990397,1.4154883226575625,0.06270875900248937,0.0013602077798122998
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1323571403771191,0.1984989493816445,1.7351988276539543,1.2737165661042502,10.506879670246061,10.911978669381314,4.019664685788961,0.08486753385909754,0.0009270508136246093
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.028694976769304787,0.04450891385193118,0.40790963243842476,0.30479961559462043,3.100745873398912,4.663505415408981,3.4435696310846904,0.1537926603916978,0.003636605967216218
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015227562011898753,0.024854090733517936,0.23295735879806187,0.17131775482404882,1.7586889916020896,2.797609153108254,2.9481730168022593,0.1934259670562403,0.006653774340788389
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03631063233769418,0.05587359136756005,0.5122915140033333,0.3852563504979817,4.026893402471558,6.447076177228511,5.239713704258094,0.2611550505476872,0.007032774924684616
