FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabA (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,500.0,10.0,500.0,4.494074456657849
0.01,0.01,0.01,0.009,0.01,0.1,0.01,5.0,0.09,5.0,1.4103741288022096e-05
0.02,0.02,0.02,0.02,0.02,0.2,0.02,10.0,0.2,10.0,0.00027602414924175793
0.03,0.03,0.03,0.03,0.03,0.3,0.03,20.0,0.3,20.0,0.0011679437362971808
0.04,0.03,0.04,0.04,0.03,0.4,0.03,20.0,0.4,20.0,0.0025030706891942317
0.05,0.05,0.05,0.04,0.05,0.5,0.05,30.0,0.4,20.0,0.004035507863356805
0.06,0.07,0.07,0.06,0.07,0.6,0.07,40.0,0.6,30.0,0.009963088051637176
0.09,0.09,0.08,0.09,0.1,0.9,0.09,40.0,0.9,50.0,0.027680927401643376
0.2,0.2,0.2,0.2,0.2,2.0,0.2,100.0,2.0,100.0,0.17930596627279055
0.4,0.3,0.4,0.4,0.4,4.0,0.3,200.0,4.0,200.0,0.7567453771284502
