Figure,Experiment,System,[FabA],[FabB],[FabD],[FabF],[FabG],[FabH],[FabI],[FabZ],[TesA],[Holo-ACP],[NADPH],[Malonyl CoA],[Acetyl CoA],C4,C6,C8,C10,C12,C14,C16,C18,Total Prod.,Palmitic Acid Equivalents,Avg Chain Length,C4 SE,C6 SE,C8 SE,C10 SE,C12 SE,C14 SE,C16 SE,C18 SE,Total Prod. SE,Palmitic Acid Equivalents SE,Avg Chain Length SE,Replicates (n)
,(type),, (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM C16),, (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM), (µM C16),,(#)
"1C, 1E",GC/MS Analysis,"0.1 µM FabF, 10 µM TesA, 1 µM FabH, 0 µM FabB",1,0,1,0.1,1,1,1,1,10,10,2600,1500,300,0,2.168486017,24.39594036,7.90387355,20.45556246,0.689964308,0,0.726819949,56.34064664,34.71413646,9.880601116,0,0.51314656,6.187594362,1.487163911,1.756035096,0.143636376,0,0.53323259,9.392901754,5.620451992,0.117062329,3
"1C, 1E",GC/MS Analysis,"10 µM FabF, 0.1 µM TesA, 1 µM FabH, 0 µM FabB",1,0,1,10,1,1,1,1,0.1,10,2600,1500,300,0,0,0,0,1.585533075,3.961093908,1.435970604,23.03313483,30.01573242,32.00335426,17.06334472,0,0,0,0,0.296636938,0.579510908,0.499719894,0.95440672,0.369792789,0.148420663,0.165599591,3
1E,GC/MS Analysis,"0.1 µM FabF, 10 µM TesA, 10 µM FabH, 0 µM FabB",1,0,1,0.1,1,10,1,1,10,10,2600,1500,300,16.92426167,54.65381843,64.63058567,9.407122053,7.857808698,0.613137699,1.744091152,2.671679057,158.5025044,74.10057355,7.418177896,2.334962672,6.467990293,10.32562326,1.182378373,0.785750277,0.375177826,1.33753169,1.196906147,19.47930409,11.65292639,0.257617794,3
1E,GC/MS Analysis,"10 µM FabF, 0.1 µM TesA, 10 µM FabH, 0 µM FabB",1,0,1,10,1,10,1,1,0.1,10,2600,1500,300,0.891846414,0,1.025978231,2.07691023,15.50014843,10.2877072,7.450700883,16.0688974,53.30218879,48.18908519,14.45088681,0.891846414,0,0.091461531,0.157342805,0.472067474,0.255723897,0.64180705,1.809460291,2.804407555,3.1863782,0.315622342,3
"1D, 1F",GC/MS Analysis,"0.1 µM FabF, 10 µM TesA, 1 µM FabH, 1 µM FabB",1,1,1,0.1,1,1,1,1,10,10,2600,1500,300,2.657489573,1.897445627,5.541502644,0.688299411,26.60056083,17.31606562,35.56249921,7.339610555,97.60347347,83.49839208,13.72166375,2.657489573,0.95094687,1.143068027,0.148792666,0.268018529,0.376713455,1.132548181,0.888550134,4.604594812,2.010494346,0.38316242,3
"1D, 1F",GC/MS Analysis,"10 µM FabF, 0.1 µM TesA, 1 µM FabH, 1 µM FabB",1,1,1,10,1,1,1,1,0.1,10,2600,1500,300,3.556597128,0,0.097590051,0.43928286,2.178835575,1.952643874,4.202093224,39.93859364,52.36563635,53.68819723,16.42928751,1.795101042,0,0.097590051,0.097010695,0.562282291,0.25089419,0.789963049,3.235545759,2.818300349,2.255210644,0.317322494,3
1F,GC/MS Analysis,"0.1 µM FabF, 10 µM TesA, 10 µM FabH, 1 µM FabB",1,1,1,0.1,1,10,1,1,10,10,2600,1500,300,7.713106927,9.565592906,20.91100715,3.763357605,38.03725821,16.55533866,9.106442357,1.45965174,107.1117556,72.0853917,10.76767218,0.874295889,1.103372099,1.556909699,0.203221371,1.286699522,0.513460231,0.236980169,1.05079802,4.728877933,3.255241631,0.099559355,3
1F,GC/MS Analysis,"10 µM FabF, 0.1 µM TesA, 10 µM FabH, 1 µM FabB",1,1,1,10,1,10,1,1,0.1,10,2600,1500,300,0,0.69317392,2.01515014,2.331918971,18.53164071,11.67609602,11.88474026,19.01076243,66.14348245,60.11212719,14.4464424,0,0.347079324,0.175166417,0.341489938,1.21623768,0.314081779,1.821204072,7.218795894,6.140275357,7.539830473,0.516736047,3
1C ,GC/MS Analysis,"1 µM FabF, 10 µM TesA, 1 µM FabH, 0 µM FabB",1,0,1,1,1,1,1,1,10,10,2600,1500,300,0,4.662101399,14.32520268,1.294387599,26.0686676,14.65575825,15.47862546,2.945017554,74.76765915,60.88694099,13.02537304,0,1.041034006,1.212476251,0.135394694,0.359853343,0.401596573,0.471560731,0.510656841,2.230983954,1.993978502,0.068938386,3
1D ,GC/MS Analysis,"1 µM FabF, 10 µM TesA, 1 µM FabH, 1 µM FabB",1,1,1,1,1,1,1,1,10,10,2600,1500,300,0,1.794417407,8.496798352,0.880335356,18.638241,14.18197766,26.2548076,6.118738655,74.57089863,64.99781509,14.0606353,0,1.794417407,4.249158254,0.156310663,3.311047577,0.95208596,2.112278754,2.730687632,6.982464785,4.011144893,0.766760993,3
S16B,GC/MS Analysis,"0 µM FabF, 1 µM FabB, 1 µM FabH",1,1,1,0,1,1,1,1,10,10,2600,1500,300,0,0.19872817,1.405921916,0.4101629,17.47036612,21.94085983,8.171462905,0.060215871,49.65771771,41.57406853,13.39518099,0,0.19872817,0.28578007,0.020938889,1.341308818,0.294875346,0.911412355,0.060215871,0.416835575,0.406286776,0.038219064,3
S16B,GC/MS Analysis,"0 µM FabF, 1 µM FabB, 25 µM FabH",1,1,1,0,1,25,1,1,10,10,2600,1500,300,0,0.32608476,0.660230772,0.274934656,5.917252739,17.83211494,22.44874367,2.032015207,49.49137674,45.40003223,14.64432342,0,0.32608476,0.212584734,0.09651601,0.232298648,0.494739632,4.321784447,1.76675344,7.432454029,7.192613377,0.111007171,3
S16B,GC/MS Analysis,"0 µM FabF, 4 µM FabB, 1 µM FabH",1,4,1,0,1,1,1,1,10,10,2600,1500,300,0.655807097,0.985900051,2.130360127,0.599136516,12.46329628,20.04418305,10.56370577,0.467693571,47.25427536,39.78534632,13.473267,0.655807097,0.496171992,0.42598656,0.099618081,0.673625665,0.576076896,1.21668152,0.467693571,2.1781055,1.760458376,0.024678437,3
