matlab_param,matlab_index,yaml_rate_key,reaction,scaling_group,value_at_published_pvec,reactants,products
k10_1f,1,kon_B_AcACP,C4_FabB_binding_AcACP,,4.338673394484211,C4_AcACP + FabB,C4_FabB_AcACP
k10_1f,2,kon_B_AcACP,C6_FabB_binding_AcACP,,4.338673394484211,C6_AcACP + FabB,C6_FabB_AcACP
k10_1f,3,kon_B_AcACP,C8_FabB_binding_AcACP,,4.338673394484211,C8_AcACP + FabB,C8_FabB_AcACP
k10_1f,4,C10_cis_kon_B_EnAcACP,C10_cis_FabB_binding_EnAcACP,,4.338673394484211,C10_cis3EnAcACP + FabB,C10_FabB_cis3EnAcACP
k10_1f,4,kon_B_AcACP,C10_FabB_binding_AcACP,,4.338673394484211,C10_AcACP + FabB,C10_FabB_AcACP
k10_1f,5,kon_B_AcACP,C12_FabB_binding_AcACP,,4.338673394484211,C12_AcACP + FabB,C12_FabB_AcACP
k10_1f,5,kon_B_AcACP,C12_FabB_binding_AcACP_unsat,,4.338673394484211,C12_AcACP_unsat + FabB,C12_FabB_AcACP_unsat
k10_1f,6,kon_B_AcACP,C14_FabB_binding_AcACP,,4.338673394484211,C14_AcACP + FabB,C14_FabB_AcACP
k10_1f,6,kon_B_AcACP,C14_FabB_binding_AcACP_unsat,,4.338673394484211,C14_AcACP_unsat + FabB,C14_FabB_AcACP_unsat
k10_1f,7,kon_B_AcACP,C16_FabB_binding_AcACP,,4.338673394484211,C16_AcACP + FabB,C16_FabB_AcACP
k10_1f,7,kon_B_AcACP,C16_FabB_binding_AcACP_unsat,,4.338673394484211,C16_AcACP_unsat + FabB,C16_FabB_AcACP_unsat
k10_1f,8,kon_B_AcACP,C18_FabB_binding_AcACP,,4.338673394484211,C18_AcACP + FabB,C18_FabB_AcACP
k10_1f,8,kon_B_AcACP,C18_FabB_binding_AcACP_unsat,,4.338673394484211,C18_AcACP_unsat + FabB,C18_FabB_AcACP_unsat
k10_1r,1,koff_B_AcACP,C4_FabB_binding_AcACP,a2,164.8695889904,C4_FabB_AcACP,C4_AcACP
k10_1r,2,koff_B_AcACP,C6_FabB_binding_AcACP,a2,164.8695889904,C6_FabB_AcACP,C6_AcACP
k10_1r,3,koff_B_AcACP,C8_FabB_binding_AcACP,a2,164.8695889904,C8_FabB_AcACP,C8_AcACP
k10_1r,4,C10_cis_koff_B_EnAcACP,C10_cis_FabB_binding_EnAcACP,a2,164.8695889904,C10_FabB_cis3EnAcACP,C10_cis3EnAcACP
k10_1r,4,koff_B_AcACP,C10_FabB_binding_AcACP,a2,164.8695889904,C10_FabB_AcACP,C10_AcACP
k10_1r,5,koff_B_AcACP,C12_FabB_binding_AcACP,a2,164.8695889904,C12_FabB_AcACP,C12_AcACP
k10_1r,5,koff_B_AcACP,C12_FabB_binding_AcACP_unsat,a2,164.8695889904,C12_FabB_AcACP_unsat,C12_AcACP_unsat
k10_1r,6,koff_B_AcACP,C14_FabB_binding_AcACP,a2,164.8695889904,C14_FabB_AcACP,C14_AcACP
