system,meas_total,meas_total_se,meas_c16eq,meas_c16eq_se,meas_acl,meas_acl_se,steps [C20+unsat / as measured],model_total [C20+unsat / as measured],model_c16eq [C20+unsat / as measured],model_acl [C20+unsat / as measured],steps [C20+unsat / 500/500],model_total [C20+unsat / 500/500],model_c16eq [C20+unsat / 500/500],model_acl [C20+unsat / 500/500],steps [C20+unsat+FBinit / as measured],model_total [C20+unsat+FBinit / as measured],model_c16eq [C20+unsat+FBinit / as measured],model_acl [C20+unsat+FBinit / as measured],steps [C20+unsat+FBinit / 500/500],model_total [C20+unsat+FBinit / 500/500],model_c16eq [C20+unsat+FBinit / 500/500],model_acl [C20+unsat+FBinit / 500/500]
"0.1 µM FabF, 10 µM TesA, 1 µM FabH, 0 µM FabB",56.34064664,9.392901754,34.71413646,5.620451992,9.880601116,0.117062329,664,42.93037156800681,29.670337357958246,11.058031421305321,627,40.009025637025125,24.87203155365007,9.94656826858908,661,45.72043438763263,31.54251199147746,11.038394508346038,627,40.56124361930287,25.18034083153064,9.932768755461908
"10 µM FabF, 0.1 µM TesA, 1 µM FabH, 0 µM FabB",30.01573242,0.369792789,32.00335426,0.148420663,17.06334472,0.165599591,671,5.027754841673725,6.2322119353040755,19.832985916168944,649,4.481269071118477,5.526287760184517,19.731152662271057,788,32.92712747208173,40.71992178818156,19.78668649924944,772,27.225946870462774,33.242745903294654,19.535920531371907
"0.1 µM FabF, 10 µM TesA, 10 µM FabH, 0 µM FabB",158.5025044,19.47930409,74.10057355,11.65292639,7.418177896,0.257617794,506,28.92163565825801,9.715405819354531,5.3747476438210295,491,28.06043827203236,9.214989966304422,5.254366950063749,506,28.923418822071078,9.716119285843464,5.374810963041048,491,28.06129391246459,9.21531398014407,5.254391481100282
"10 µM FabF, 0.1 µM TesA, 10 µM FabH, 0 µM FabB",53.30218879,2.804407555,48.18908519,3.1863782,14.45088681,0.315622342,856,16.2809328631149,20.04166493019579,19.695839395641492,826,15.24944554182109,18.57286176351126,19.48698970078702,855,32.58673490404964,40.12948708499145,19.70347122074115,831,28.1387632560751,34.14670653304273,19.416180432547208
"0.1 µM FabF, 10 µM TesA, 1 µM FabH, 1 µM FabB",97.60347347,4.604594812,83.49839208,2.010494346,13.72166375,0.38316242,689,62.10068042702534,46.18753342998026,11.900039255577651,665,47.4457659400786,31.348746286306465,10.57164808371671,691,63.551988769720225,47.146508236124426,11.869717161981297,669,48.4703028062783,31.88773789397028,10.526111387062315
"10 µM FabF, 0.1 µM TesA, 1 µM FabH, 1 µM FabB",52.36563635,2.818300349,53.68819723,2.255210644,16.42928751,0.317322494,765,29.167087881729376,36.307451510725144,19.916942909322714,763,19.755644166019017,24.11772574506169,19.53282862751354,775,35.129100979166,43.76189065799802,19.93191488000874,792,23.74399644306132,29.03525823415332,19.565540824624414
"0.1 µM FabF, 10 µM TesA, 10 µM FabH, 1 µM FabB",107.1117556,4.728877933,72.0853917,3.255241631,10.76767218,0.099559355,693,86.69388719919048,58.655788571863,10.825360904552578,629,61.06087138137155,34.77054369006084,9.111050767131669,693,86.69232531388664,58.626340620654894,10.820121003032124,629,61.03069049826437,34.72660253327244,9.104036608403772
"10 µM FabF, 0.1 µM TesA, 10 µM FabH, 1 µM FabB",66.14348245,6.140275357,60.11212719,7.539830473,14.4464424,0.516736047,871,38.58127542132607,48.02031459487617,19.91445397093642,864,34.10149363703582,41.805620562652926,19.6146812841066,872,38.69232761536495,48.154011514488936,19.912582977454864,866,34.301461092353925,42.05106479885067,19.614821507751664
"1 µM FabF, 10 µM TesA, 1 µM FabH, 0 µM FabB",74.76765915,2.230983954,60.88694099,1.993978502,13.02537304,0.068938386,761,14.158220444757259,12.874756254621625,14.549575695455827,741,13.74589902116268,12.00420401842725,13.972695710854293,703,43.18760571085377,38.41985058761975,14.233657997100478,695,30.138654681772966,25.432030934687567,13.501348990241778
"1 µM FabF, 10 µM TesA, 1 µM FabH, 1 µM FabB",74.57089863,6.982464785,64.99781509,4.011144893,14.0606353,0.766760993,724,53.579762561428325,48.312579377184605,14.427112646285439,700,41.29857989259011,34.129933322300886,13.222704862420533,728,55.35838223631268,49.78091106252831,14.387967003811527,707,42.724090417408476,35.180408051684005,13.174921299145756
"0 µM FabF, 1 µM FabB, 1 µM FabH",49.65771771,0.416835575,41.57406853,0.406286776,13.39518099,0.038219064,681,61.7214674791112,41.370097720283304,10.724332887071283,647,45.44863873803189,25.410387962454994,8.945619025967902,680,62.91703764950185,42.091540016755395,10.70401063730658,648,46.147707222636,25.72771313380762,8.920127020720239
"0 µM FabF, 1 µM FabB, 25 µM FabH",49.49137674,7.432454029,45.40003223,7.192613377,14.64432342,0.111007171,600,59.15149998410571,32.82766916711787,8.879617707328151,537,42.62015070449884,19.45840026307826,7.30486399186732,600,59.11427598698197,32.79559544504144,8.876528018988475,536,42.59977955468836,19.442982291693443,7.302566349380511
"0 µM FabF, 4 µM FabB, 1 µM FabH",47.25427536,2.1781055,39.78534632,1.760458376,13.473267,0.024678437,693,62.151578628515615,48.121367583045256,12.388130733262967,690,48.21176258148823,32.56654482159357,10.807833799164381,691,67.54284802646467,51.993323187011406,12.316524921576148,697,51.90837222975234,34.70413676679022,10.697044896938252
"0 µM FabF, 4 µM FabB, 25 µM FabH",41.23972277,2.073596498,34.31517343,1.362118505,13.32712453,0.136865648,684,103.98075405620648,75.05264544981553,11.548698007594144,635,72.15008373880408,43.998879663396,9.757189986956554,684,104.00981111934612,75.03876089253032,11.543335781110425,634,72.14115836209947,43.97131856166762,9.752284451205854
