system,measured,se,model [C20+unsat / as measured],steps [C20+unsat / as measured],model [C20+unsat / 500/500],steps [C20+unsat / 500/500],model [C20+unsat+FBinit / as measured],steps [C20+unsat+FBinit / as measured],model [C20+unsat+FBinit / 500/500],steps [C20+unsat+FBinit / 500/500]
Reference,4.655129552,0.195953656,5.119808710975392,612,5.145518242849212,611,5.211737375887907,618,5.259784084403493,618
No FabH,2.41772584,0.329796844,4.575841680579128e-21,320,1.2530736137564441e-20,324,2.746926266840904,463,3.007543417223354,475
"No FabH, No FabF",1.796165966,0.153881698,-1.7998393106346286e-25,303,4.258526258562382e-26,307,2.566309427159836,425,2.1124332801613726,420
"No FabH, No FabB",2.976304272,0.145801109,0.0,380,0.0,380,2.6454545935218707,479,2.6454545935211358,479
"No FabH, No AcCoA",2.91667542,0.175030609,3.1105780010667485e-21,256,1.2530736137564441e-20,324,2.1411053537440585,378,3.007543417223354,475
"No FabH, No FabF, No AcCoA",0.893110994,0.188789642,-9.566066639774692e-26,240,4.258526258562382e-26,307,0.9342007187157646,305,2.1124332801613726,420
"No FabH, No FabB, No AcCoA",2.428676471,0.106000831,0.0,380,0.0,380,2.645454593521287,479,2.6454545935211358,479
No ACP (Ctl),-0.336677171,0.124846843,,50000,,50000,,50000,2.187958813265866e-31,5416
"No FabF, 1 μM FabB, 1 μM FabH",3.272438672,0.676380263,4.78278069368507,595,3.111624986808016,570,4.835217185973284,598,3.112086386033999,571
"No FabF, 1 μM FabB, 5 μM FabH",-0.036219336,0.272989588,4.580595228368171,595,2.214065137336123,538,4.568496595048554,596,2.200758095538808,537
"No FabF, 1 μM FabB, 10 μM FabH",0.0,0.0,3.063008826670188,579,1.299439500189747,488,3.0531595672620853,579,1.2953994653080536,487
"No FabF, 4 μM FabB, 1 μM FabH",7.781818182,0.337239996,5.297588584226011,609,4.875603105515101,608,5.607373190433065,619,5.064266903848423,615
"No FabF, 4 μM FabB, 5 μM FabH",5.476479076,0.125825072,6.5052310691902475,646,5.162270655659664,621,6.531767506813961,647,5.1378284329768995,620
"No FabF, 4 μM FabB, 10 μM FabH",0.748773449,0.737351192,6.595254398248941,639,4.627498732805971,599,6.59434761632667,639,4.596730875450342,598
"No FabF, 10 μM FabB, 1 μM FabH",6.022077922,0.284293688,5.169870188233245,604,5.369209023899034,604,5.790333288633647,631,5.935766647644446,621
"No FabF, 10 μM FabB, 5 μM FabH",6.011616162,0.145907855,6.488243862168424,668,6.366796005270437,645,6.584608147925119,672,6.392914983063814,642
"No FabF, 10 μM FabB, 10 μM FabH",2.178138528,0.49864272,6.808808892230227,678,6.323101116147225,637,6.840063245541333,679,6.298719961107361,636
