FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09578743396685332,0.14358373010785463,1.2895178595847352,0.7455375630767417,7.42574825636248,11.257956845594059,8.254022618835005,0.39804433249074395,0.011065795322590702,2.435710280855826,4.078389640249239,2.261580739818573,0.7562200462721187,0.16515007047114624
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.02852875889438309,0.043944933972185796,0.40571765530377485,0.19920092065660652,2.158800242389295,3.6207960410543,3.4826033655058213,0.21269832107317305,0.007121189407037796,1.08099553571814,1.7657593429935508,1.1093693866215315,0.4124703164552893,0.10137556418854464
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.009251425978371789,0.016558511792818715,0.15832983128840342,0.058332166827201416,0.527213165756632,0.5799000580749432,0.3617884703804085,0.011953798156289781,0.00018864964789363825,0.3935060324795692,0.308296084561438,0.10734728557598308,0.019311438332966818,0.002152464653339562
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02556854868659245,0.039808605235781766,0.3671713771996683,0.15542054552716034,1.5947867996374285,2.4012688851296833,1.8218691978118573,0.08418848946526004,0.002066322362111065,1.1700339798865504,1.6788304916025758,0.8758592439232473,0.256321777532291,0.04636152598497958
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1206569126110699,0.18115914225348506,1.5911281673606648,0.8218090889639167,6.7908730972736855,6.906692765233332,2.5474960552503223,0.0544093356495778,0.0006068295009169049,3.103716143148419,3.0836810470015914,0.897621008156996,0.13742529737633832,0.011685293477788582
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.015304679711197956,0.02524619601337674,0.23763040883649061,0.08822021288730451,0.8726928908128452,1.234510393084706,0.9387234493493818,0.040693418951353956,0.0008814120129581261,0.7613990962805685,0.9000247291121469,0.420318582922578,0.10483524918909724,0.015904166929000384
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.031901919688388576,0.04923842551709387,0.4540956330793249,0.21249863414509712,2.242814937082612,3.5894134533713813,3.0029568228396877,0.15531014428370812,0.004363140081699344,1.3048095936654962,2.048289391890982,1.1666491255556781,0.38483291982611717,0.08085290237337209
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.013338154989863392,0.02200457942699905,0.20912763155984632,0.07944693843881756,0.8221792079993135,1.3152467848344582,1.4317955930952808,0.09780335065855864,0.0035013594650886424,0.6906852574443723,0.9928826019359864,0.6275915173357484,0.22945548764690904,0.05653188889552777
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010944075165617292,0.01859438904959281,0.17399510744689092,0.059251668504153886,0.53088293497376,0.5263879463216804,0.2349168407664725,0.005563025617743557,6.232739307716435e-05,0.5220035792268721,0.3610956693306345,0.10009141157457821,0.013401153948680142,0.0010180779385114825
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.001646527010908911,0.002176338093180312,0.008696871373377015,0.0006301751458698238,0.0010263399928151914,3.566335944555832e-05,3.680011403366518e-07,1.8158268236914705e-09,1.289677634076551e-10,0.0007980629651761303,1.599455456295204e-05,1.2834037099449272e-07,3.82299700658495e-09,1.5453421144585397e-09
