FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005863809815774789,0.011118079966790024,0.09890818557495536,0.02495541795577553,0.1436976423173452,0.03666564335431272,0.003352408020972331,1.4924782257334805e-05,3.209920774373057e-08,0.1121172669652843,0.017716199143824003,0.0011390076157649109,3.177736771539891e-05,4.835919070840183e-07
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.00819581955101533,0.015155658230033408,0.1421946992001477,0.03925824600997381,0.305399309153051,0.17665177015696204,0.04009818967086072,0.0004404201595473209,2.253179990477512e-06,0.33429253938809744,0.12235021702896014,0.018023901609208675,0.0012207093168997833,4.556837426059611e-05
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010944075567255008,0.018594388586700168,0.17399508696686952,0.05925164172387855,0.5308827141735306,0.5263878414605421,0.23491686362300523,0.005563023708910405,6.232724662931117e-05,0.5220034917871516,0.3610958282265536,0.10009144642592134,0.013401147525129744,0.001018077280742999
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12065689998853264,0.18115911027899764,1.591127632828989,0.8218086027700469,6.790869538372074,6.90669334524365,2.5474967538978177,0.054409317322345586,0.0006068283514893523,3.103717091961685,3.0836835466744454,0.8976214219589057,0.13742522766056903,0.01168527141983675
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.009251426845988207,0.016558514532096683,0.15832986956692405,0.05833215171410197,0.5272128198208551,0.5798993469541611,0.3617880566124716,0.011953778562457022,0.00018864872655468848,0.3935059367477238,0.3082959967642661,0.10734723740392167,0.019311408416444704,0.0021524005090681245
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011448544554189106,0.0195417430802157,0.18509458603508963,0.06284614074706735,0.602572684073083,0.8068404949757636,0.636110761348148,0.028695767153642963,0.0006340581938910044,0.6075106413480929,0.6416162904287668,0.290900789567069,0.06942538680220897,0.010304891804932161
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025568543341928728,0.03980859339116008,0.3671712005980256,0.15542043372575526,1.5947856513445104,2.401268855061144,1.8218696847983724,0.08418846174932472,0.0020663178056657696,1.1700340345114244,1.678831637852434,0.8758596215868297,0.2563216964011089,0.04636145961713238
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03190191447716938,0.04923841340331983,0.45409544694183834,0.21249846977275563,2.2428131848806925,3.589412581502721,3.002957969816512,0.15531023150480214,0.00436313497037142,1.3048093210754395,2.0482906941488093,1.1666499332637401,0.3848329512357937,0.0808528049486347
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.013338153272990311,0.022004576882434863,0.2091276005836458,0.0794469178566001,0.8221788720725631,1.3152466970960772,1.4317952946559833,0.09780327614361847,0.0035013528633026578,0.6906853764292363,0.9928827707721534,0.6275915626285243,0.22945555353600433,0.05653189913635545
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.028528754069392037,0.04394492334003015,0.4057174981586047,0.19920077730105745,2.158798651682109,3.6207951483553615,3.4826045549001496,0.2126984321938127,0.007121184723781633,1.0809953747238,1.7657604571375811,1.1093701728383332,0.4124703957355087,0.10137546283430503
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09578743620322802,0.14358373079070116,1.289517767455735,0.7455374204887701,7.425746915001158,11.257955589983643,8.254022145539382,0.39804447780070684,0.011065808449593999,2.4357109967033996,4.078390820173515,2.2615816870713648,0.7562207156397258,0.1651503622594603
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003022831535233589,0.005053211622293076,0.03580384581654392,0.005804364519820999,0.021257991171116798,0.002262678441954517,6.249562796341119e-05,9.515115411443007e-08,7.402601298491886e-11,0.012878279447119547,0.0006206513924839627,1.1668645419041502e-05,9.020767759585897e-08,3.720368150501727e-10
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.007725562143347743,0.014401429073474097,0.13452157374529564,0.04238943778899436,0.33326898449866904,0.2198166255824303,0.07762868830203638,0.0014350649718543112,1.2512621764003986e-05,0.26085292541153615,0.10971757949026201,0.02230020356925144,0.002233217700273669,0.00013651539813802323
