FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005863809647865818,0.01111807954994181,0.09890818246205635,0.02495541807818691,0.14369764885623457,0.036665641164198653,0.0033524089314555007,1.4924807826907913e-05,3.209924592267925e-08,0.11211726705795977,0.01771619995403412,0.001139008079628937,3.177741055208135e-05,4.835920526821669e-07
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008195819463604112,0.01515565820722186,0.14219470066792214,0.03925824534130008,0.30539929627531837,0.17665177589592201,0.040098189856063046,0.0004404200877076727,2.253179973561435e-06,0.3342925371303497,0.12235021952775782,0.018023901271639844,0.0012207092719621344,4.556838762814491e-05
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.007725561805780384,0.01440142855256281,0.13452157136355009,0.04238943799835854,0.3332689835929655,0.2198166253499893,0.07762868965485165,0.0014350649516099712,1.2512621748182818e-05,0.26085292617307676,0.10971758051315232,0.0223002040598205,0.0022332177698367486,0.000136515373310595
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.00925142669119754,0.01655851430010909,0.15832986888306202,0.058332151791398515,0.5272128150361144,0.5798993319744921,0.3617880655525648,0.01195377896212271,0.00018864871306821458,0.3935059246618306,0.30829599944273134,0.10734724189915386,0.019311408464528276,0.002152400332479844
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011448544520028244,0.019541743231486587,0.18509458918287572,0.06284614250076387,0.6025727000199741,0.8068404486286347,0.6361107507868952,0.028695768672847576,0.0006340581991929672,0.6075106297438165,0.6416162694448183,0.2909008036377145,0.06942539180903015,0.01030489111375627
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027699143508035356,0.00017815520167732644,0.0002406480682064189,5.5641226371821405e-06,2.7121991499797294e-06,2.1812643791177378e-08,6.447422557486618e-11,6.768455189621237e-11,4.14206785223375e-10,1.7227219889655307e-06,8.082063457355151e-09,3.316326793337766e-11,1.081691948580608e-10,1.5655044529544238e-11
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12065689909734797,0.181159109054765,1.5911276207418918,0.8218086117031149,6.790869609010198,6.906693529452894,2.547496744287347,0.05440931466626372,0.00060682830828482,3.1037171406884294,3.083683532626588,0.8976213815226609,0.13742521937632737,0.011685271281895407
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025568542962173597,0.039808592946873125,0.36717119668949383,0.15542043493305172,1.5947856492509083,2.401268983187355,1.8218697035948856,0.0841884551926618,0.0020663175795788366,1.1700340695134173,1.678831668444407,0.8758595803027154,0.25632167793615046,0.04636146058554959
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.013338153041816892,0.022004576692080807,0.2091275995225946,0.07944692079469767,0.8221789112401456,1.3152467190979467,1.4317952194944883,0.09780327403587337,0.0035013531449346147,0.6906854245903586,0.9928827248964632,0.627591529867311,0.22945556658538094,0.05653190366033844
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03190191422580195,0.04923841309079752,0.4540954439555919,0.21249846692997337,2.242813133485023,3.58941271275077,3.002958076317514,0.1553102270072693,0.004363134550565938,1.3048093065997035,2.0482907431347597,1.1666499067897038,0.3848329207066779,0.08085280082039639
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.028528753732639005,0.04394492284256658,0.405717493234198,0.19920077415770607,2.1587985923581865,3.620795302552349,3.48260471720913,0.2126984264793362,0.007121183860134329,1.0809953622124768,1.7657605112740766,1.109370148549928,0.4124703579665148,0.10137545588733585
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.0957874370083342,0.14358373198423677,1.2895177793559314,0.7455374235205604,7.42574695780839,11.257955598565351,8.254022083037382,0.39804447427631856,0.011065808493679354,2.435711027928241,4.07839084247091,2.2615817090468084,0.7562207262854173,0.16515036461056212
3.0,3.0,3.0,3.0,3.0,30.0,3.0,3.0,3.0,2000.0,30.0,2000.0,0.1345547493299714,0.2000970637447849,1.7928551960250645,1.1448727817870983,12.00806163945598,20.10928383670046,18.803079056929032,1.2745301894753212,0.05284741960778086,2.4708251258642635,4.574326766112241,3.099144228944305,1.3384006196275726,0.415283279645962
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010944075627860704,0.01859438899920484,0.17399509334841742,0.059251642924128614,0.5308827058972743,0.5263878130919055,0.23491687591138508,0.005563024209116701,6.232724030495454e-05,0.5220034580671344,0.36109582966563886,0.10009145368917721,0.013401147578641337,0.0010180770979630268
