FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004610183983124584,0.00035589411775615557,0.0006588483657089536,2.0105440814520247e-05,1.4556959919888976e-05,1.7601947475251893e-07,6.762979936062805e-10,1.3975536143687172e-13,1.596548715783603e-17,8.616213557627239e-06,5.496666382237717e-08,1.5989262847844922e-10,1.9301232545654648e-13,1.365289270154788e-16
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050975483397246,0.0007807742997939495,0.0017703808466179648,7.323918085292687e-05,5.9674569411693725e-05,8.997822484532567e-07,4.4097660511088176e-09,1.1595652791747145e-12,1.610393213021411e-16,3.9480563764244816e-05,3.6711206098735705e-07,1.447572593555246e-09,2.264350482380158e-12,1.9770101394661373e-15
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993333506402691,0.0010016645434471735,0.00308933550893057,0.00016612882046884402,0.00020944741058124685,5.048066381951836e-06,3.7128550145337616e-08,1.4755030687563197e-11,3.115661520998212e-15,0.00013178940354975063,1.7238348296320176e-06,9.652693909491867e-09,2.2225586092539902e-11,2.871802830979389e-14
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016465271397422298,0.002176337876527151,0.00869686834439243,0.0006301747896605798,0.0010263393304365128,3.566342199091592e-05,3.6964993670444994e-07,2.1013655726524457e-10,6.038869994704179e-14,0.0007980623935964171,1.5994538242720474e-05,1.283819170734061e-07,4.0307684653370496e-10,6.737543644540127e-13
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022628410521065108,0.0033414541476528077,0.01534592323547129,0.0014240423022338698,0.0025177872042030846,9.613813620223994e-05,1.1150183931920586e-06,7.00022419125752e-10,2.2148248579328946e-13,0.0015653555375137356,3.57572561513994e-05,3.238771325445215e-07,1.1659645625734648e-09,2.2188350734861273e-12
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029045897610393296,0.004532852244026104,0.02368524649599517,0.0024244344803641496,0.005037582176583285,0.00024211316309940634,3.4252252083165644e-06,2.609640642439716e-09,9.933349691485011e-13,0.003363698230115207,9.285036947041437e-05,1.0034137996859048e-06,4.3422896125017685e-09,9.828373260091186e-12
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,0.0026890499359253158,0.0042371462341532756,0.022760827699784165,0.0024128051032730065,0.005365506789629308,0.0002810337492473642,4.3318321433478646e-06,3.580897613142181e-09,1.4843924347715188e-12,0.0038197181617179183,0.00011646959649111197,1.3808132388103047e-06,6.518787761651747e-09,1.6155379572527588e-11
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030228316330477042,0.0050532115994961655,0.035803845235183596,0.005804364442733202,0.021257991380086032,0.0022626786433856045,6.249561003172006e-05,9.514948577150747e-08,7.388868195159656e-11,0.012878279798898492,0.0006206513961532342,1.1668640065025687e-05,9.020734080985576e-08,3.7203155870753254e-10
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005863809660667316,0.011118079497415445,0.0989081810479765,0.024955417756110862,0.14369764871679533,0.03666564130138542,0.0033524092156886278,1.4924812746768804e-05,3.209925670859046e-08,0.11211726764091842,0.017716200462358538,0.0011390081984815723,3.177742039299667e-05,4.835921901896611e-07
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008195819450611522,0.015155658191673133,0.14219470082673993,0.03925824516778905,0.30539929410208705,0.1766517768887639,0.040098189809813264,0.00044042007571253673,2.2531799543840416e-06,0.3342925373144405,0.12235021992497983,0.018023901258047783,0.001220709274276246,4.556839007347673e-05
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010944075676356342,0.018594389165935622,0.17399509491907883,0.059251643133196155,0.5308827002528511,0.5263878052278825,0.23491687985422977,0.005563024256899982,6.232723571565914e-05,0.5220034454917842,0.3610958319685206,0.10009145580236417,0.013401147368321261,0.0010180770083815034
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.007725561776283768,0.014401428486033027,0.13452157092702674,0.04238943779298337,0.33326898108110753,0.21981662618673514,0.07762869014150789,0.0014350649214728375,1.2512621594139088e-05,0.2608529261635389,0.10971758116191588,0.022300204084669397,0.0022332177654780547,0.00013651538013397758
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.009251426673633857,0.01655851426711657,0.15832986882450467,0.058332151807420476,0.527212813704132,0.5798993243486409,0.3617880696290196,0.011953779290276315,0.0001886487081208699,0.39350591910104865,0.308296000010045,0.1073472440873657,0.01931140856173011,0.0021524002521707115
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011448544535881717,0.019541743310495283,0.18509459046737017,0.06284614326655864,0.6025727081082228,0.8068404239990218,0.6361107422270312,0.02869576932068998,0.0006340581980873403,0.6075106241630132,0.6416162587659994,0.29090081128866585,0.06942539466864249,0.010304890770674941
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12065689858935705,0.18115910816117192,1.591127609881001,0.8218086152913925,6.790869629749636,6.906693682054785,2.5474967478769313,0.05440931273505142,0.0006068282643196644,3.1037171864738435,3.0836835632483663,0.8976213641058479,0.13742521277460765,0.011685270770722773
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025568542801425644,0.03980859264272716,0.36717119249803576,0.15542043406574996,1.5947856318354263,2.4012690719508005,1.8218697088461087,0.0841884480048758,0.0020663172957048775,1.170034088658136,1.6788317120497664,0.8758595579558704,0.25632166257368105,0.04636146083819687
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.013338152991401444,0.022004576651035196,0.20912759933955863,0.07944692144535757,0.8221789180209073,1.3152467050583054,1.431795212379077,0.09780327481731352,0.003501353091738219,0.6906854300514307,0.9928827084848253,0.6275915289652658,0.22945557212126386,0.05653190285324096
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.031901914115069124,0.04923841286546621,0.45409544084857956,0.21249846465654412,2.242813097928801,3.5894127800895723,3.002958142376604,0.15531022504485273,0.004363134277675679,1.3048092978728154,2.048290782575979,1.1666499060548552,0.3848329060257926,0.0808527973776341
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.028528753617398588,0.043944922606528,0.405717489789918,0.19920077131646385,2.1587985504149882,3.6207953867402654,3.482604784287849,0.21269841640139522,0.007121182999210681,1.0809953578359603,1.765760553379531,1.1093701351151686,0.4124703350181716,0.10137545298104245
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09578743719743481,0.14358373220425613,1.289517781611486,0.7455374241903763,7.42574696153148,11.257955580254485,8.25402206077253,0.3980444718063529,0.01106580841345693,2.435711029621989,4.078390842836133,2.261581710323703,0.7562207267514839,0.16515036437181613
