FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004610183976729163,0.00035589411603127464,0.0006588483666879457,2.010544088771862e-05,1.4556957314842237e-05,1.7601932749603745e-07,6.762969246634519e-10,1.397553655670726e-13,1.5965662457672536e-17,8.616211644654956e-06,5.49666141911104e-08,1.5989239142568624e-10,1.9301244886355396e-13,1.3653063977806493e-16
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016465271394549158,0.002176337873286749,0.008696868337572697,0.0006301747921042704,0.0010263393454019033,3.5663421652262314e-05,3.6964992536856846e-07,2.1013657706457563e-10,6.038873405533572e-14,0.000798062404091767,1.59945378528757e-05,1.283819122653347e-07,4.0307691602167536e-10,6.73754950440471e-13
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022628410456798018,0.003341454144369473,0.01534592329522558,0.0014240423073718083,0.0025177871772379414,9.613813112232291e-05,1.1150182245089655e-06,7.000221246753664e-10,2.214822350482294e-13,0.0015653555156549086,3.5757254142090744e-05,3.23877071184487e-07,1.1659638547267075e-09,2.2188314107577215e-12
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029045897615946024,0.0045328522397624135,0.02368524640218696,0.002424434473885831,0.005037582227097888,0.00024211317989224234,3.425225946200686e-06,2.6096419797940753e-09,9.933360562090138e-13,0.003363698280291576,9.2850377136671e-05,1.0034140711134886e-06,4.3422927464395615e-09,9.82838924844778e-12
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,0.002689049936832153,0.004237146234716881,0.02276082767219432,0.0024128051058551632,0.005365506852159702,0.000281033759413658,4.3318324637228235e-06,3.5808984284999437e-09,1.484393519331865e-12,0.0038197182143819173,0.00011646960108454509,1.380813374988057e-06,6.518789968220483e-09,1.6155396670608322e-11
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003022831642784367,0.005053211626972575,0.03580384548940417,0.005804364463037026,0.021257991204883694,0.0022626785365449974,6.249560211615194e-05,9.514945804762212e-08,7.388863123656079e-11,0.012878279641212015,0.0006206513620503883,1.1668638333371476e-05,9.020730746212975e-08,3.720312162120992e-10
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005863809669461475,0.011118079507074623,0.09890818095564338,0.024955417711732687,0.1436976486726393,0.03666564130257483,0.003352409165491055,1.4924811988356757e-05,3.209925830411188e-08,0.11211726774832462,0.017716200456618637,0.0011390081788835783,3.17774191629753e-05,4.835922185493258e-07
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008195819450251966,0.015155658189442946,0.14219470077969068,0.0392582451559055,0.30539929404155275,0.17665177696558124,0.04009818979284978,0.0004404200743573562,2.2531799384196398e-06,0.33429253724848457,0.12235022004808202,0.01802390124512088,0.0012207092694217288,4.5568389584133354e-05
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010944075673317467,0.018594389158990428,0.1739950948673492,0.05925164315123076,0.5308827004913311,0.5263878052722426,0.23491687971401132,0.005563024242770612,6.23272360772625e-05,0.5220034460336708,0.3610958316568209,0.10009145599293949,0.013401147417340808,0.00101807701736536
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.0077255617774541025,0.014401428488560795,0.13452157096881043,0.04238943779328924,0.3332689810857622,0.219816626184553,0.07762868972026747,0.0014350649144001196,1.2512621530633292e-05,0.2608529262826242,0.10971758106772259,0.022300204048753373,0.0022332177712042368,0.00013651538019259383
