Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
10.969779436583423,5.494497749717747e-09,4.6255031914812275e-09,1.689865668853175e-08,1.8859088609686443e-08
17.385947923282334,1.229501417469966e-08,1.5166652966390733e-08,9.660005930091509e-08,3.3539099697180037e-07
23.66731098589586,1.7810537942871047e-08,2.5812210033986066e-08,2.1067094815374608e-07,1.54653299316184e-06
29.980008955278816,2.1469792699455677e-08,3.3599400137340354e-08,3.08331345308983e-07,4.067847992533169e-06
39.75764901413918,2.4407866514086977e-08,4.017347967060486e-08,3.947400568705937e-07,1.0399140102629256e-05
49.16709530146322,2.5587832502319324e-08,4.287432305518415e-08,4.288085564209364e-07,1.839531077052402e-05
63.880760531319225,2.6223691868425153e-08,4.433216500250539e-08,4.4564146198103e-07,3.270041606636184e-05
80.5321836745553,2.6405694334712024e-08,4.4743357506340014e-08,4.499913841613052e-07,4.987045315239591e-05
114.17807287664594,2.6463222381772326e-08,4.48698002848197e-08,4.5130742940553674e-07,8.52411360246079e-05
150.0,2.6467642449190096e-08,4.487921669845438e-08,4.514102597796947e-07,0.00012303550486939132
