Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
11.349294907579987,5.924154565700159e-09,5.182875901637622e-09,1.9973945853283766e-08,3.3067626120894513e-09,8.199575735479588e-08
18.977073606489732,1.4413528657276128e-08,1.9122108239090483e-08,1.3565840265989588e-07,4.785255175662336e-08,3.709483331418055e-06
24.052007466231725,1.9279399924838815e-08,2.8926265928412252e-08,2.483943033954318e-07,1.154942137782782e-07,1.4482816304318809e-05
31.81397538174667,2.437176114082787e-08,4.0087648481310215e-08,3.962216470591439e-07,2.3965276559454876e-07,5.359243830376439e-05
39.54032370231101,2.7145527178389164e-08,4.6425716862174505e-08,4.834520585417426e-07,3.4030990980210764e-07,0.00012007649966190531
51.23009183059019,2.8988587374203797e-08,5.0681805806888804e-08,5.388855894939011e-07,4.2650309884782786e-07,0.0002545820154544507
62.63005408354905,2.9626483744612028e-08,5.21461844511694e-08,5.560214743957612e-07,4.6192258824557684e-07,0.00040326510557275316
82.13599583084364,2.99318813410895e-08,5.283499080464259e-08,5.63386912781221e-07,4.80520867769842e-07,0.000668946074771686
105.71884299190205,2.9997473692623906e-08,5.297855344366377e-08,5.648732713049817e-07,4.846157808537186e-07,0.0009943743197131294
150.0,3.001036638898141e-08,5.3006005572233585e-08,5.651703380744946e-07,4.853670405812425e-07,0.0016070539933661638
