Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
11.058882936258966,5.619011009686018e-09,4.7883963122156116e-09,1.7782580131744278e-08,2.816918716372448e-09,6.545975086027423e-08
18.558933826090886,1.396565638722723e-08,1.82735587537474e-08,1.2692292287746516e-07,4.352100586930986e-08,3.2234969344253954e-06
23.563793257117126,1.8863032900922783e-08,2.8049855825866388e-08,2.375305426831591e-07,1.0803404842133554e-07,1.29936773735551e-05
31.217367914936123,2.4074860686138153e-08,3.9417772944934216e-08,3.8700091142414305e-07,2.3048126467805638e-07,4.9536410650462746e-05
38.808168440605506,2.6953899538653972e-08,4.5984170539472265e-08,4.774561734090279e-07,3.323726012683237e-07,0.00011279187658204432
50.38334359421982,2.8910067478868462e-08,5.050071449104443e-08,5.366646261848324e-07,4.223942963114325e-07,0.0002440036203088624
61.61567204379798,2.9592168859070144e-08,5.2067944973258004e-08,5.551515595104229e-07,4.599093983552464e-07,0.0003897067045982301
80.30468854667484,2.991967344416115e-08,5.280792369309744e-08,5.631072330091378e-07,4.797548207495985e-07,0.0006437752691505515
102.60949020843724,2.999406767791359e-08,5.297122296894696e-08,5.647961551899698e-07,4.844080796877198e-07,0.0009513915030976467
149.2704589438666,3.001032938916631e-08,5.3005927969470876e-08,5.651694216899444e-07,4.853651887767797e-07,0.0015969571728449076
