Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
11.044506816000661,5.5903772052666914e-09,4.74996369387355e-09,1.7569828033298575e-08,1.1453921618896677e-09,4.748041522619001e-09,3.002034230276727e-11,8.666100674057306e-10,2.8619256158137433e-12
18.803780376385756,1.407708768467837e-08,1.8479860744877196e-08,1.2924023649913314e-07,1.941361078172711e-08,1.7292841491204486e-07,4.722151666024285e-09,4.55809835111966e-08,6.497316827956524e-10
25.466426247176077,2.0192810301179965e-08,3.088346612369914e-08,2.748634388324944e-07,6.25461321207088e-08,7.380931104124491e-07,4.509800234829749e-08,2.387687419636719e-07,7.640696845806642e-09
31.928740417733135,2.4331748086647313e-08,3.9994967627929976e-08,3.9954599249072644e-07,1.2054175875804675e-07,1.6267996343343129e-06,1.864750359772974e-07,6.129447521334096e-07,3.6802193076133346e-08
41.65762392287369,2.7984485219529063e-08,4.8229203041780585e-08,5.169256945122313e-07,2.0726416825623093e-07,3.021180562763431e-06,7.576032353553309e-07,1.3563851947558468e-06,1.7870465210128293e-07
51.17349719375038,2.979534304926855e-08,5.223763398409232e-08,5.70926954230545e-07,2.703989106620295e-07,3.987588721338919e-06,1.8629229121606585e-06,2.0206666987955453e-06,5.0405430781496e-07
66.33227872854363,3.1060277879510983e-08,5.492147029807379e-08,6.032653051502183e-07,3.2536368086741145e-07,4.732258618307822e-06,4.719641249458749e-06,2.6844779667195856e-06,1.5107959331704581e-06
85.89356404900133,3.1592341475159135e-08,5.599804689774818e-08,6.14974525591895e-07,3.5078409666456495e-07,5.028295690167366e-06,9.835834702730198e-06,3.023989774478962e-06,3.6706169506195046e-06
108.28435381913809,3.175366385050732e-08,5.6316002815619215e-08,6.183238628704009e-07,3.5841066280147243e-07,5.109925427264032e-06,1.672886100712172e-05,3.1322334782967897e-06,7.0256925223945066e-06
150.0,3.1800811061682134e-08,5.64081489620581e-08,6.192931815408564e-07,3.605553686556764e-07,5.132599029771759e-06,3.057415301939685e-05,3.1638083743417585e-06,1.4593707574743628e-05
