Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
11.537872101148643,6.10669715498006e-09,5.420993678710379e-09,2.1330807263666026e-08,1.4989117528896309e-09,6.7044421824166535e-09,4.820593500417248e-11,1.261484084933187e-09,4.7325921879937616e-12
18.364732855984165,1.3613984292194099e-08,1.7609890879511018e-08,1.203881894558355e-07,1.748002554267807e-08,1.5160995067488567e-07,3.8905651952242085e-09,3.9325162903614194e-08,5.266150857228923e-10
24.946587594909182,1.9783993953282088e-08,3.000890466758913e-08,2.6355145015441916e-07,5.837367281938788e-08,6.782680301734964e-07,3.919316342204997e-08,2.163873065988323e-07,6.547877459112213e-09
33.11076515817067,2.4918057282930654e-08,4.131334266090944e-08,4.1832783163404644e-07,1.316799423256836e-07,1.804876855967988e-06,2.2965009577628155e-07,6.968652678099553e-07,4.644298718459927e-08
40.956404288797486,2.7796591728991385e-08,4.78074264875645e-08,5.110149136843613e-07,2.016258865572437e-07,2.9314744407714126e-06,6.985061992803659e-07,1.301999641148056e-06,1.6290264028380461e-07
52.93825864105383,3.001773996497334e-08,5.271902522227721e-08,5.770223829894894e-07,2.793817422436892e-07,4.1170515803944125e-06,2.129767035130399e-06,2.1234886014864177e-06,5.893184313030493e-07
68.50487273878952,3.115769081564678e-08,5.512147503890691e-08,6.054958482521283e-07,3.299598574929831e-07,4.7884670396093576e-06,5.221993764758007e-06,2.7440392429201083e-06,1.7055515935079446e-06
88.73744751387646,3.1627578982697385e-08,5.606786091196962e-08,6.157121157030115e-07,3.5246881506797653e-07,5.046584947588821e-06,1.0667233591519996e-05,3.0475340653764713e-06,4.052594857887207e-06
111.93161472646693,3.176420654897278e-08,5.633663488537878e-08,6.185407926253382e-07,3.588965624786381e-07,5.115050639243517e-06,1.7906568892322418e-05,3.1393145433382707e-06,7.634771201791103e-06
150.0,3.180081102671721e-08,5.640814890849828e-08,6.192931811503391e-07,3.6055536924866116e-07,5.1325990409188754e-06,3.057415301164594e-05,3.1638083851704814e-06,1.4593707556700046e-05
