Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
10.660864491875719,5.21151121457466e-09,4.277732569101052e-09,1.50722286919709e-08,2.2419503045446947e-09,8.7287925680699e-09,4.8611928665113205e-11
17.792887387790508,1.3273681262937391e-08,1.7003150645424155e-08,1.1444063541901292e-07,3.73527740428489e-08,3.209830230898042e-07,7.115923686327838e-09
23.88883322313758,1.973022810876722e-08,2.9919236391643604e-08,2.622291222233473e-07,1.2258871537947146e-07,1.4431474963878438e-06,6.738885489775603e-08
31.446046668142532,2.5622030254665024e-08,4.293180505308504e-08,4.408406962483932e-07,2.7017430108322165e-07,3.827363571032618e-06,3.825717442211714e-07
38.72517111470196,2.9120129919925698e-08,5.094637374794871e-08,5.567263719089866e-07,3.9906569842895077e-07,6.010815273741271e-06,1.1484258980861613e-06
49.74356594459415,3.177291333445174e-08,5.703492528201938e-08,6.404483283305476e-07,5.214384572467842e-07,7.865937905682803e-06,3.418572291919834e-06
63.490410032683606,3.298090905593515e-08,5.976713260864446e-08,6.737513727951963e-07,5.85652935460581e-07,8.612285814618112e-06,7.966224090014055e-06
82.28984389025696,3.3422399269980626e-08,6.074655906839534e-08,6.844054295952977e-07,6.109581338533661e-07,8.835101110295534e-06,1.619197774035233e-05
105.7922410511267,3.35257226182882e-08,6.097129464469751e-08,6.867382546535085e-07,6.170318705559873e-07,8.882694230722306e-06,2.802740529027426e-05
150.0,3.354473308079213e-08,6.10119762974486e-08,6.871669769952086e-07,6.181212401423826e-07,8.891595164579646e-06,5.168355842302785e-05
