Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
11.136199290776162,5.705082265675399e-09,4.8998626997598506e-09,1.8398579346537755e-08,2.9513734014122444e-09,1.2441666388877272e-08,7.87907393830255e-11
18.51057437753039,1.4090929311005521e-08,1.8533229818265787e-08,1.298973096198837e-07,4.4664506104505646e-08,4.028735499552043e-07,9.861915602973159e-09
24.815259138959913,2.0588924228573312e-08,3.1758386428913215e-08,2.8604202622812813e-07,1.393742652355971e-07,1.6947209745747797e-06,8.743861471373574e-08
32.608810327166665,2.6309803431582827e-08,4.449784821788113e-08,4.634613160562718e-07,2.92841328390006e-07,4.213642627197421e-06,4.695080667418035e-07
40.111351285610425,2.9596016552209873e-08,5.204173415687509e-08,5.723233061450677e-07,4.193462489721404e-07,6.342188085764046e-06,1.3585667615229861e-06
51.454731126560326,3.200919119240925e-08,5.7572851816874595e-08,6.47322019392194e-07,5.335167061711019e-07,8.02274283125491e-06,3.8902491105006415e-06
65.63612777773133,3.307235699745873e-08,5.997142920866385e-08,6.76044463249111e-07,5.907958840201652e-07,8.66129708421546e-06,8.810828531844746e-06
85.08014788514812,3.3446823687475175e-08,6.079999398666334e-08,6.849617306896335e-07,6.123937445674217e-07,8.846425887175884e-06,1.7534571534177165e-05
109.53426345407894,3.353062425876823e-08,6.098182811788467e-08,6.868482641275407e-07,6.173167567703533e-07,8.884964236949964e-06,2.9988427686325447e-05
150.0,3.354473301939033e-08,6.101197622970673e-08,6.871669771462898e-07,6.181212382635892e-07,8.891595130070773e-06,5.1683558580574596e-05
