Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM)
13.370670741875607,8.099626236526836e-09,8.247046995591373e-09,3.94880784090389e-08,3.540156563729887e-09,2.010621916195991e-08,5.5410967875736304e-11,2.9938520364757015e-13,4.19220866992631e-09,6.312393219685005e-12,2.5737549914363575e-14
18.634448876761358,1.3906669693042298e-08,1.8159917151096158e-08,1.259942270124871e-07,1.8692081493102085e-08,1.6495912189408576e-07,9.286758127654251e-10,1.1445200374926356e-11,4.322394358122072e-08,1.351769639265054e-10,1.24418599132818e-12
25.346897785409073,2.0155246308447957e-08,3.080706005980766e-08,2.742197172954193e-07,6.219968735570702e-08,7.346781629336382e-07,7.596322866665059e-09,1.9315337311464018e-10,2.3722241553171742e-07,1.3861684876694311e-09,2.613660352003422e-11
33.71575588103641,2.5424568826625716e-08,4.2439313566673576e-08,4.36126718260567e-07,1.4165242529789906e-07,1.984094048230786e-06,3.4994171925132224e-08,1.748114973004313e-09,7.791211471990013e-07,7.886264377485676e-09,2.8874059099394236e-10
44.157676315090704,2.9190436190208195e-08,5.080865076273218e-08,5.570752951790108e-07,2.417324402933028e-07,3.6617862243676363e-06,1.0384797274921127e-07,9.989405253267073e-09,1.725787773352002e-06,2.8763569948387884e-08,1.988840547257492e-09
57.44982906980153,3.172811220487671e-08,5.6082364120565534e-08,6.263758175231761e-07,3.3326175218165395e-07,5.134967629366349e-06,2.18509597762978e-07,4.063804422519751e-08,2.8208870715410116e-06,7.4304125027674e-08,9.715638375654425e-09
74.08567721005544,3.33902655164414e-08,5.923082865397247e-08,6.621277541632286e-07,3.9293971172730175e-07,5.994628643127056e-06,3.4332496265813357e-07,1.2212815898194318e-07,3.6315536751695547e-06,1.4083175454919502e-07,3.480172137727706e-08
90.1685220710728,3.4259575732914306e-08,6.079113556874715e-08,6.78568986902768e-07,4.184103548218316e-07,6.326830945155722e-06,4.213644930723226e-07,2.449924647402726e-07,3.9807357920520985e-06,1.957955415621381e-07,7.948400103554852e-08
114.91703021316847,3.492217819121301e-08,6.195687569208996e-08,6.906267283596766e-07,4.3370963050685516e-07,6.520867970132482e-06,4.817195634978588e-07,4.942534268546412e-07,4.1743241949530276e-06,2.5178680745582233e-07,1.8528997176742356e-07
149.71982409748378,3.5269773709875583e-08,6.256301401332857e-08,6.968695455431933e-07,4.4027664799159673e-07,6.606615921285478e-06,5.112719352395136e-07,9.081157492614227e-07,4.247263402277507e-06,2.8901450752208804e-07,3.8699148092347213e-07
