Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM)
13.044223118489343,7.738347878558206e-09,7.708917051390766e-09,3.576417310256728e-08,3.080987720361264e-09,1.684338337322864e-08,4.3869518164531e-11,2.2208223143859998e-13,3.4520306654203067e-09,4.907868296639403e-12,1.8769536634436988e-14
19.417191860601058,1.472388340575412e-08,1.971526821850911e-08,1.4219917723989603e-07,2.2375860958104308e-08,2.0665727095368463e-07,1.2650567699198762e-09,1.7193041322721684e-11,5.568740255215689e-08,1.8981265843780598e-10,1.924819926600658e-12
26.35894592814111,2.093580778942944e-08,3.24903160308607e-08,2.964424351819637e-07,7.079080984688494e-08,8.607960214354756e-07,9.591567312090072e-09,2.6737597061652294e-10,2.8545777343039733e-07,1.8012831457734625e-09,3.719196526851586e-11
34.998771691413985,2.6023229154757007e-08,4.3783631086117974e-08,4.5570539280857057e-07,1.5462208265186343e-07,2.1993375765439673e-06,4.151557707883565e-08,2.2682229780086407e-09,8.861528936323962e-07,9.622414300865861e-09,3.8447122438935216e-10
43.424625118755515,2.899387815789814e-08,5.038201331895815e-08,5.510888302351038e-07,2.3535500557925174e-07,3.555245532525817e-06,9.802543217259077e-08,9.048279360443173e-09,1.6574076739660474e-06,2.6799949822105683e-08,1.780686476704312e-09
56.494867160248475,3.1594086399397474e-08,5.581727091821178e-08,6.231602379810381e-07,3.281909269494532e-07,5.0573183977802524e-06,2.1025039265861662e-07,3.747324644313119e-08,2.75493601542871e-06,7.057571959162882e-08,8.855023604537128e-09
72.96705611109384,3.33088078146549e-08,5.908210540908409e-08,6.605286585692487e-07,3.9028249172882374e-07,5.958766338686739e-06,3.363350446315362e-07,1.1510183279152673e-07,3.5946373021143815e-06,1.3651699133199874e-07,3.246199913836291e-08
93.22354919494957,3.437543092636615e-08,6.099608668063546e-08,6.806969293357147e-07,4.213557942352998e-07,6.364171582384476e-06,4.3202317797622766e-07,2.7240855532869044e-07,4.019651449176941e-06,2.0454094100568913e-07,9.026087385815868e-08
118.80243136786733,3.498381574648821e-08,6.20646265467866e-08,6.917372952021766e-07,4.3494383078799986e-07,6.536744736996923e-06,4.871496790646029e-07,5.378369353413989e-07,4.188670547318185e-06,2.578709416487206e-07,2.0528649184035246e-07
150.0,3.52712603322645e-08,6.256559744227508e-08,6.968961353599783e-07,4.4030275675266097e-07,6.606964646966368e-06,5.11390788728405e-07,9.116005702298614e-07,4.247535238848022e-06,2.8919216127844097e-07,3.8877929217860313e-07
