Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
12.281289027155147,6.940555270796522e-09,6.5658038721601324e-09,2.8276685987931426e-08,5.340629554708858e-09,2.6686785268214455e-08,6.034152581687817e-11,2.504471044461312e-13
17.937905900110202,1.345177547265773e-08,1.7335759143068983e-08,1.1779122803935681e-07,3.8889722330276745e-08,3.380014880847939e-07,1.7857717037173785e-09,1.8266741092035525e-11
24.07336130634918,1.999267986694194e-08,3.048354267510419e-08,2.6990866005108146e-07,1.2760177447291356e-07,1.521422847382036e-06,1.4760213663736211e-08,2.8374831974442455e-10
31.697555033425544,2.613554665065258e-08,4.407447977130229e-08,4.59606715757032e-07,2.857812821809107e-07,4.143349092273911e-06,6.928516185451962e-08,2.4735266675089974e-09
41.2678096825268,3.090822407747544e-08,5.489396388782755e-08,6.195788711806861e-07,4.689201794388411e-07,7.418782056281537e-06,2.0254496304177407e-07,1.4201206724315474e-08
52.95372314976279,3.39798574924356e-08,6.160412427571247e-08,7.119946335956708e-07,6.064506424368708e-07,9.672118063279125e-06,3.928262357759145e-07,5.5885407612936825e-08
67.00719936887913,3.576064530403471e-08,6.522764764936267e-08,7.554003873630937e-07,6.81079288749106e-07,1.0657460002039413e-05,5.698497635874817e-07,1.6051145070577214e-07
81.05307859780133,3.66259044174584e-08,6.688250025718382e-08,7.733358832978859e-07,7.112289436574844e-07,1.099201125203222e-05,6.772636382743996e-07,3.2332081116743585e-07
106.35077439469717,3.727483834127153e-08,6.807752002125866e-08,7.858463147541904e-07,7.29694472578946e-07,1.1195692389386997e-05,7.657080650305618e-07,7.207881189546523e-07
150.0,3.7546276334466027e-08,6.856849240644947e-08,7.909705391684742e-07,7.362923402604347e-07,1.1275016440811479e-05,8.040636497942355e-07,1.549595985720334e-06
