Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
12.814531680124107,7.533885983280056e-09,7.416553300404234e-09,3.381648442015185e-08,6.83871170769907e-09,3.666062030040511e-08,9.164910479141002e-11,4.24694311814828e-13
18.66091186435028,1.4277165004466387e-08,1.8889417379079142e-08,1.3364593373511194e-07,4.6477649108320113e-08,4.2397165271236007e-07,2.4352377302323827e-09,2.715021657726986e-11
25.0001499931185,2.0865774884827022e-08,3.2360151259770974e-08,2.9451768453284464e-07,1.4511266451195585e-07,1.7881036058920228e-06,1.8717674133101084e-08,3.904033293477255e-10
32.86884063775656,2.6876586907691792e-08,4.575619872958078e-08,4.844358373660728e-07,3.107515403277872e-07,4.58647183116224e-06,8.224751885798876e-08,3.204638103583544e-09
42.731375332804376,3.1422023099881224e-08,5.604208283773418e-08,6.361205633078478e-07,4.914197009177365e-07,7.811027029329365e-06,2.2655485664975565e-07,1.7479589853207364e-08
54.76500841326371,3.4293353875793976e-08,6.226066349154567e-08,7.20286581310344e-07,6.203215967891068e-07,9.87214329910908e-06,4.198175264537124e-07,6.587726542946386e-08
69.24095555276817,3.5940950138958555e-08,6.557860591356027e-08,7.592914728575706e-07,6.878118085985003e-07,1.0734738256438045e-05,5.911025550389607e-07,1.8276969001427383e-07
83.72269647806382,3.6734334469765224e-08,6.708472013873895e-08,7.754677586403463e-07,7.145820766727884e-07,1.1028162674161949e-05,6.916345951413854e-07,3.598446286215793e-07
109.96904696025051,3.732121499439505e-08,6.816168147569761e-08,7.867237841166249e-07,7.30865894374885e-07,1.1209377862888254e-05,7.722203415338331e-07,7.848509238424686e-07
150.0,3.754627629298029e-08,6.856849235972665e-08,7.909705389498981e-07,7.36292339301974e-07,1.1275016421169904e-05,8.040636478631063e-07,1.5495959865981099e-06
