Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM)
12.017724903109873,6.618686848282022e-09,6.112565349760087e-09,2.5441660820220412e-08,1.9150481571788943e-09,9.17539294412557e-09,1.973955562867242e-11,4.2299004092524015e-14,9.076725216538236e-18,1.776137429908539e-09,2.080382130176001e-12,1.9776648548844676e-15,2.5843720233084405e-18
19.33913443288487,1.4644145017786582e-08,1.9562204097814666e-08,1.4058210300228359e-07,2.1996582271471764e-08,2.0229682456114466e-07,1.2284658971054013e-09,8.117860266126758e-12,6.005120637185022e-15,5.436710659938443e-08,1.8378307620796936e-10,4.600628695015171e-13,2.1813159086049386e-15
26.354655902215082,2.094405077118792e-08,3.2508323116073394e-08,2.96782043564303e-07,7.090864375510305e-08,8.632658297503387e-07,9.631235792225405e-09,1.2248686786071743e-10,1.8924071867853601e-13,2.864544682119052e-07,1.8093117073919996e-09,7.810448852797671e-12,8.041004633227216e-14
35.04361016484276,2.6122320811398903e-08,4.398767676941929e-08,4.593388797098987e-07,1.56728381634095e-07,2.246268870319408e-06,4.29303317026076e-08,9.816479270080123e-10,2.8943956285701557e-12,9.099236370846039e-07,9.988903214762343e-09,6.876328403981365e-11,1.3936952351585547e-12
43.417562622986225,2.9267906191893012e-08,5.0875571558231125e-08,5.597379886595048e-07,2.4182307876348434e-07,3.7216836301574566e-06,1.0582885036612659e-07,3.767838193791067e-09,1.7369765072839335e-11,1.75903564737054e-06,2.920499674336975e-08,2.815906833508442e-10,9.059889284175976e-12
56.521613800900695,3.266914295550876e-08,5.7531696737927346e-08,6.475735016850049e-07,3.5150696673697156e-07,5.651717145592071e-06,2.5773280196852777e-07,1.570194074827789e-08,1.1770877242805973e-10,3.2077266176590968e-06,8.921434172295158e-08,1.2792953782117393e-09,6.691972440380927e-11
72.81975111547537,3.64939323016574e-08,6.388339843530487e-08,7.167648977709331e-07,4.445282792927094e-07,7.237441408752997e-06,4.94566188118233e-07,4.831789178896114e-08,5.471673920917583e-10,4.721757896844116e-06,2.1500711765411576e-07,4.360223880090336e-09,3.369283468629761e-10
93.27393618190204,4.173288029898781e-08,7.206071276942782e-08,7.973034814613441e-07,5.215870072181102e-07,8.458968000095912e-06,7.800314584710245e-07,1.1377054362806417e-07,1.870382381352916e-09,5.920552180268284e-06,4.192982425084846e-07,1.1352863968769295e-08,1.2484284642459373e-09
115.09932295520146,4.7405574091443954e-08,8.097532679573933e-08,8.837615700706818e-07,5.847215717260585e-07,9.39357842838987e-06,1.0124356757713325e-06,1.9818088414501752e-07,4.418582503933545e-09,6.628172677151291e-06,6.347947247500003e-07,2.1010996495959235e-08,3.14890763601993e-09
150.0,5.522678092879291e-08,9.355086277420865e-08,1.0066887582302182e-06,6.692379492913449e-07,1.0602651403479218e-05,1.2427695300209882e-06,3.30418008213752e-07,1.0742246617528925e-08,7.282134707402189e-06,8.948372918414566e-07,3.580611094472661e-08,8.176735717716812e-09
