Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM)
11.711358822598664,6.290854958612811e-09,5.666846085400152e-09,2.2765865611934476e-08,1.6407952310123833e-09,7.528182819411246e-09,1.522958962348467e-11,3.049916909458366e-14,6.080563020155289e-18,1.4312892830748318e-09,1.5754040059164455e-12,1.4123234958337998e-15,1.7109511919038906e-18
18.898226056786125,1.4184929899667899e-08,1.8685838410143528e-08,1.314070954943073e-07,1.9894082303809518e-08,1.783758972299973e-07,1.0335698377238917e-09,6.494004242423583e-12,4.5411291670459374e-15,4.719164142678134e-08,1.5201798508534718e-10,3.6460989541215016e-13,1.6295405871228773e-15
25.83236439264511,2.0544890807564988e-08,3.164529374596703e-08,2.853081966649763e-07,6.639615152527369e-08,7.964601147463899e-07,8.551217166598003e-09,1.0433403249474372e-10,1.5383471269831186e-13,2.606805296982368e-07,1.5828921654918024e-09,6.605698614575505e-12,6.47425498598703e-14
34.44396517943488,2.5841058698641872e-08,4.3359086976085536e-08,4.5011370923339416e-07,1.50475119174957e-07,2.1405324206216654e-06,3.96105502030043e-08,8.741159264033169e-10,2.4817784496170847e-12,8.564821351767578e-07,9.09481904271476e-09,6.090412702591525e-11,1.1867353929733148e-12
42.71249202910917,2.9047152241868886e-08,5.040735767186998e-08,5.530678474929681e-07,2.3498543582234728e-07,3.6015071650493488e-06,9.937480052054071e-08,3.420173785109612e-09,1.5262165671304268e-11,1.6822665133442678e-06,2.7057426801673544e-08,2.543485114046902e-10,7.915161427876607e-12
55.55260054909404,3.244247331106363e-08,5.712417132598006e-08,6.426743744157434e-07,3.445734251463282e-07,5.530594922174523e-06,2.4478265445375803e-07,1.4411034552920738e-08,1.0485604243372815e-10,3.103865763490159e-06,8.344011953384251e-08,1.1667884358462486e-09,5.929021085326497e-11
71.71297703342024,3.6225179333823363e-08,6.345731381304364e-08,7.124245854716082e-07,4.3938451774251997e-07,7.152410600149072e-06,4.780478279337948e-07,4.546945517845056e-08,5.027744854756244e-10,4.635091794302401e-06,2.0499432308112376e-07,4.076425473962349e-09,3.080755745438127e-10
91.75598194730327,4.1332690424859025e-08,7.143725729750351e-08,7.912493174886043e-07,5.166986279449063e-07,8.384448629502928e-06,7.608188121624171e-07,1.0825809402726717e-07,1.737344116554282e-09,5.854136510573604e-06,4.0358370357246145e-07,1.0738324154320409e-08,1.1534562087246099e-09
112.78251487299855,4.682128816612929e-08,8.004928398323432e-08,8.747673631389681e-07,5.784872761227827e-07,9.303092924950524e-06,9.91569128179338e-07,1.890042021936287e-07,4.092740030126853e-09,6.5694935968881975e-06,6.134382490568242e-07,1.995123258231043e-08,2.8993078942552403e-09
149.47521619518452,5.512439263091653e-08,9.338422911654465e-08,1.0050492152098385e-06,6.680957437410214e-07,1.058642040388802e-05,1.2402169792183554e-06,3.285746322277089e-07,1.0629449231319471e-08,7.274445064045945e-06,8.917821718198346e-07,3.56111984764277e-08,8.085244678223383e-09
