Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
12.31793441647365,6.981022086245113e-09,6.622831990469374e-09,2.86380899977756e-08,5.435148018611886e-09,2.7295224709018804e-08,6.21565349356264e-11,1.3973316302256927e-13,3.0862066099621105e-17
19.196337251666566,1.488334397240017e-08,2.0052685856143637e-08,1.459383300620174e-07,5.264479660180736e-08,4.967250545482624e-07,3.0283677645515455e-09,1.9060519472258808e-11,1.2291356028238287e-14
25.745060197036292,2.1563414588408714e-08,3.3875124507923304e-08,3.1497333622084997e-07,1.6025584333234798e-07,2.0272305337097593e-06,2.2551125914613337e-08,2.6057794835502103e-10,3.1534512741778585e-13
33.92983320138139,2.7645812396630567e-08,4.7472315370490736e-08,5.1097283095935e-07,3.3756704083303587e-07,5.103735021089323e-06,9.852086979914513e-08,2.013524125916384e-09,4.404735678489236e-12
43.91280625876318,3.242323478383522e-08,5.801727559772262e-08,6.679255753828022e-07,5.28344907226981e-07,8.693102588171852e-06,2.7929858925582844e-07,9.98041321808531e-09,3.765584690678845e-11
55.90196011218216,3.65104406292183e-08,6.594783024013941e-08,7.736258114066554e-07,6.796759300836546e-07,1.1494878899637673e-05,5.866548470231062e-07,3.53244353735337e-08,2.1222342300859274e-10
69.83056904635025,4.1096822448549987e-08,7.350878271393925e-08,8.568471776038879e-07,7.862721606378465e-07,1.3306743284401619e-05,9.91766707353677e-07,9.203090502067709e-08,8.105265698521231e-10
88.43292158536714,4.7951389514011454e-08,8.413219868049688e-08,9.613370684872468e-07,8.878381155844977e-07,1.4857806099372301e-05,1.4931676947992275e-06,2.0531610337185828e-07,2.6107555579034e-09
115.38531702658223,5.8240060107404655e-08,1.002504494733584e-07,1.1168552756282025e-06,1.021386130638732e-06,1.678710208639693e-05,2.0279689075914106e-06,4.043583483401457e-07,7.52514475044436e-09
150.0,6.985935977709916e-08,1.1892598767405293e-07,1.2989738937315057e-06,1.1802166010577614e-06,1.905597902525859e-05,2.4510671825916825e-06,6.575976302652556e-07,1.7397032964378924e-08
