Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
12.844428337864683,7.567455181639645e-09,7.465616977408353e-09,3.4145585698908666e-08,6.930915385505589e-09,3.7296310425784866e-08,9.374937765855078e-11,2.3433454253522425e-13,5.787185339254916e-17
19.95026802794462,1.5723429095260762e-08,2.1693516616267963e-08,1.638410195863046e-07,6.205732242070393e-08,6.12036546735383e-07,4.0439032633631684e-09,2.7616211057790383e-11,1.937332737552738e-14
26.713217315654216,2.241532570744917e-08,3.574222697858708e-08,3.4054432210462e-07,1.8008585772416259e-07,2.346162806781039e-06,2.8110082637998766e-08,3.502306716323266e-10,4.58487859520584e-13
35.14849478888311,2.8355090150002048e-08,4.907314849655577e-08,5.350299573174058e-07,3.6368953298463074e-07,5.586868903000957e-06,1.1566488407455875e-07,2.547538957207683e-09,6.013112735051285e-12
43.198855710802924,3.2143622968550575e-08,5.7426137781140535e-08,6.593985112355072e-07,5.167121188730949e-07,8.472930183607187e-06,2.6360448503334474e-07,9.085565121811664e-09,3.3150507900205544e-11
55.15397775957287,3.627131539498389e-08,6.552249926590735e-08,7.684628156344381e-07,6.723110133322186e-07,1.136310939570341e-05,5.656635930273509e-07,3.3118416830603935e-08,1.9414909093780586e-10
68.93675486078948,4.0788465813036916e-08,7.302287398153919e-08,8.518631153674524e-07,7.806687254134789e-07,1.3216567539919657e-05,9.657562803659165e-07,8.754786248850754e-08,7.549660961205491e-10
86.81114452288878,4.7329768059154174e-08,8.317070593697936e-08,9.520490595956028e-07,8.79588170243475e-07,1.473619632003768e-05,1.4534413102920803e-06,1.9422790378396878e-07,2.4024442478098986e-09
112.68133588001787,5.723811546110237e-08,9.866204985654459e-08,1.1014796794148158e-06,1.008223613035285e-06,1.6598683418020007e-05,1.984223628362098e-06,3.8385107436059465e-07,6.912558888600324e-09
150.0,6.985935977303208e-08,1.1892598772417862e-07,1.298973894947135e-06,1.1802166018574196e-06,1.9055979040486116e-05,2.451067176588988e-06,6.575976327650353e-07,1.739703291871661e-08
