Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
13.103136757659323,7.858862848422864e-09,7.895496692851317e-09,3.707154898382134e-08,7.765712585894634e-09,4.315566706972628e-08,1.1364731802794778e-10,2.9856835227732583e-13,4.29993962073926e-17,6.824937056355272e-21
20.409823976772177,1.622811269125185e-08,2.269471311373419e-08,1.7508322015414092e-07,6.822085159363977e-08,6.901121366987494e-07,4.780591440840001e-09,3.4247723175913776e-11,1.3911149851253062e-14,6.363914743333303e-18
27.35015020141047,2.295605500057985e-08,3.693613774632093e-08,3.5717603344272065e-07,1.934871460472315e-07,2.5664377865546327e-06,3.2240285533299505e-08,4.215221039240014e-10,3.1478437399336663e-13,2.681526445203564e-16
35.960239660386826,2.8809769551840834e-08,5.009491509008129e-08,5.504573748687478e-07,3.809574578520688e-07,5.910918029237236e-06,1.2813150700953334e-07,2.9642214593655515e-09,3.870690912287665e-12,5.80186336105816e-15
43.913381762025345,3.2450516918097796e-08,5.80641806460681e-08,6.687653725668285e-07,5.292034736492302e-07,8.721439647324592e-06,2.810547426842221e-07,1.0053054124674865e-08,1.9914835397663268e-11,4.3784066159426325e-14
55.518857572651314,3.653050326862893e-08,6.59400289691141e-08,7.739992042264282e-07,6.790371432917492e-07,1.1531412629517784e-05,5.874039350965347e-07,3.481816856278148e-08,1.1184249560992578e-10,3.6370004049827943e-13
69.06386840459912,4.137480807056823e-08,7.382826542551433e-08,8.609443110446616e-07,7.893496613303337e-07,1.3461375557365512e-05,1.011677705984905e-06,9.101551053275812e-08,4.384520318104354e-10,1.961904449415347e-12
86.87573302828271,4.905791858006972e-08,8.54809571660508e-08,9.74466566901664e-07,8.980613652723461e-07,1.5169740646262167e-05,1.5673016592854785e-06,2.0424399443057532e-07,1.408523369587525e-09,8.551733048816157e-12
112.27205348638974,6.170539397852396e-08,1.0471322887666499e-07,1.1560572233169987e-06,1.0492250648437542e-06,1.736897696689381e-05,2.215748997752511e-06,4.092626250359832e-07,3.9219014383896875e-09,3.256234016428055e-11
149.71429740464254,8.06232047663999e-08,1.3414660457776187e-07,1.4350964396069833e-06,1.2823349089044827e-06,2.066961832858161e-05,2.86907036267364e-06,7.325001838432058e-07,9.471896449854417e-09,1.0834448195695247e-10
