Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
12.794072653130158,7.510968786741954e-09,7.383126443066832e-09,3.359297595431883e-08,6.776291525103191e-09,3.623177645418655e-08,9.023866337148282e-11,2.233459536472804e-13,3.0239107048153483e-17,4.502109101460926e-21
19.966338709854934,1.574119891179985e-08,2.1728579952155874e-08,1.6423089091597143e-07,6.226782548727612e-08,6.146722218793017e-07,4.0681421643978175e-09,2.7828975011783626e-11,1.0780952421817349e-14,4.700635590027048e-18
26.81455949582693,2.2502810930916197e-08,3.593493946357698e-08,3.432183211044606e-07,1.8221220466557603e-07,2.3809424700379967e-06,2.8746288920610253e-08,3.6095122479456665e-10,2.588998162590085e-13,2.1160050468017472e-16
35.351531287521716,2.84741153988206e-08,4.9339930659228254e-08,5.390885866759876e-07,3.68161188758467e-07,5.671943984522371e-06,1.1885114097090077e-07,2.650998687306596e-09,3.3419705272383564e-12,4.8399505858147166e-15
45.43996827898239,3.3035043555752195e-08,5.927849728784769e-08,6.860875536082597e-07,5.531884661586436e-07,9.177570912250245e-06,3.164446527366368e-07,1.2203851150685666e-08,2.5972806117144113e-11,6.069580146577337e-14
57.33524838482457,3.714433609744312e-08,6.700491099560225e-08,7.867215472933694e-07,6.967934521336185e-07,1.1853663527146659e-05,6.416288488254212e-07,4.0609593792271066e-08,1.3897683723393836e-10,4.747817142911479e-13
71.25049379691546,4.223526133758021e-08,7.515367959495486e-08,8.74349702270562e-07,8.038272122920228e-07,1.369972809352484e-05,1.0821114602768794e-06,1.0277415992035369e-07,5.219391860814261e-10,2.438218570449555e-12
89.60295971265384,5.0350304618441984e-08,8.743091480670926e-08,9.929723720202043e-07,9.139555688938719e-07,1.540706888418784e-05,1.646258891123913e-06,2.2448410123836196e-07,1.6166613991756365e-09,1.020775650769587e-11
115.92731056623636,6.35828892269318e-08,1.0760082684188061e-07,1.1833104739128836e-06,1.0716952315840758e-06,1.7689284598497163e-05,2.293401590748561e-06,4.4066032890761036e-07,4.380452870285495e-09,3.774939295161112e-11
150.0,8.076256639033363e-08,1.3436580890822247e-07,1.4371855204490215e-06,1.284106917665947e-06,2.0694635988317927e-05,2.873081195807031e-06,7.349293742686669e-07,9.5202143271269e-09,1.0911709880876108e-10
