Time (s),C4_FA (uM),C6_FA (uM)
9.725176216218939,3.982582776727693e-09,3.635577158482947e-08
15.210618298204256,8.637043906739777e-09,2.0597878836809997e-07
20.537522633026487,1.2412959316843523e-08,5.398283753555361e-07
27.44718138076686,1.5629908856630557e-08,1.1823239034212031e-06
33.48385172126793,1.7228245305709112e-08,1.8744704641908137e-06
43.0557122424193,1.8448606817087592e-08,3.1071354295084916e-06
55.794504018741414,1.89899165552286e-08,4.858712061425683e-06
74.08740841525515,1.915966073435162e-08,7.438021744026543e-06
103.21241597837339,1.918976974714998e-08,1.1571473585558881e-05
150.0,1.9191719413549447e-08,1.8217260252157253e-05
