Time (s),C4_FA (uM),C6_FA (uM)
10.1861040372944,4.368541526009694e-09,4.424465021661052e-08
15.892507500073199,9.180545335168934e-09,2.3947238870478244e-07
21.4307428468557,1.2932550070157163e-08,6.110194191350283e-07
28.62466519942848,1.6014953019390662e-08,1.3096812503052905e-06
34.93473770196407,1.7494600439738042e-08,2.052999847044349e-06
44.90191471271043,1.8576577998970957e-08,3.355869671432606e-06
58.175694036076955,1.9033363465809714e-08,5.192155174702179e-06
77.36367294527074,1.91685092594313e-08,7.902353444367893e-06
108.1239102094758,1.919048934134033e-08,1.2269043146336792e-05
150.0,1.919171937470538e-08,1.8217260254965486e-05
