Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
9.342577356203885,3.854093406981487e-09,2.70663271952005e-09,6.323320972650377e-08
17.32066767056798,1.1471943276408324e-08,1.3696714690081425e-08,1.4067759270051206e-06
22.688330603879407,1.5555368158432372e-08,2.1286002888601728e-08,3.988187148127465e-06
29.39843049488581,1.8869302430157995e-08,2.8084822788004203e-08,9.142878087926282e-06
37.24427531330261,2.0941224259668598e-08,3.2599147041739815e-08,1.7077337764076412e-05
46.580128144038724,2.2055233449936198e-08,3.511110651330518e-08,2.7940228334260814e-05
58.58302944783573,2.2584293014295007e-08,3.632563733955614e-08,4.2831947392904595e-05
80.95357419738612,2.28089692652006e-08,3.684323610743665e-08,7.133979076425475e-05
109.88400480927689,2.2842669000109246e-08,3.691971798981679e-08,0.00010846141238116949
150.0,2.2846094456753585e-08,3.692733143764097e-08,0.00015998170417395538
