FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253834771610627e-06,8.649882750178848e-08,2.909981290994553e-09,5.633073267445122e-12
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594271239441466e-05,5.02349634188368e-06,1.2421497437898502e-06,2.269198438903356e-08
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290482886154792e-05,6.131041828020933e-06,1.7287795808620459e-06,4.499219136046398e-08
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428513430081858e-05,2.547294913028347e-05,1.0211179119456176e-05,4.0947156091646315e-07
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011736197419684895,4.809522474430541e-05,3.555216636091069e-05,2.811478480823043e-06
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024969863053626585,0.0001415755495250457,0.00017211201258432598,2.357221748662714e-05
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002766935046080849,0.0001778882486308462,0.00024019985071167149,3.749364472877491e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00045994017975768925,0.0003547591876812569,0.0006562430133741255,0.00015099987068221117
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008014998254554133,0.0007760927285416723,0.0017572072561493064,0.0004560994487303048
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008907046763042779,0.000989356914597189,0.00304290702890725,0.0012030008524889304
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016153220162101617,0.002124813469914999,0.00845041593580884,0.004381045762266431
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002200950020158016,0.0032297297272506913,0.014728569904351166,0.008683971967362874
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002794485207286826,0.004328717607007421,0.022430696137181426,0.01567649958167206
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0027505142397687174,0.004546566402910654,0.031842155460055935,0.04512634737384952
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005104068570747024,0.00936515834559675,0.0780478719812411,0.30933913517851175
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.00679566073972997,0.01219631971825352,0.10558143829437817,0.8226629825364167
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.008069455097420521,0.013511345838066636,0.11796847448914095,1.5561008998804193
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.05304199017692197,0.0789788727409939,0.6759443355458217,13.588831002943897
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.012132195095256558,0.019012721939457175,0.16615400320589782,4.880533620761693
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.007653304507775531,0.012713970019535859,0.11270591603668342,3.3601969637541496
