FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253870636004022e-06,8.649888817331317e-08,2.910042478038258e-09,5.618329431074635e-12
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594284056166815e-05,5.02349888142119e-06,1.2421627388831433e-06,2.268871399939604e-08
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2904830957259655e-05,6.131042514029524e-06,1.7287809230292093e-06,4.499193481178045e-08
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.42851385817155e-05,2.547295415769062e-05,1.021118204105578e-05,4.0947153427750867e-07
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011736194344604686,4.809522665278468e-05,3.555217143739563e-05,2.8114851512581804e-06
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024969857957461494,0.00014157554403590125,0.00017211202189196945,2.3572231317365938e-05
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002766934646484775,0.0001778882770523208,0.0002401999461687618,3.7493644176514006e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004599401480740059,0.00035475925107462833,0.0006562433180308456,0.00015099979439584462
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008014997615983561,0.0007760929848334705,0.0017572092050087721,0.0004560991729606554
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008907046497527418,0.0009893573151007046,0.0030429106657184,0.0012029998770119088
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016153219891783118,0.0021248142131209506,0.008450424912467159,0.004381043033845128
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002200949929172286,0.003229730809991423,0.014728584391645603,0.008683966669599148
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,0.0025802868505234193,0.0040282902860836085,0.021408373957375146,0.01676544194069014
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.002750514714618911,0.004546567885376462,0.03184216903698803,0.04512633711173399
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005104068628892693,0.009365158719821718,0.07804787763814303,0.3093391309794227
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.006795660792121576,0.012196319760053257,0.10558143862258544,0.8226629810529883
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.05304199020454307,0.07897887305933844,0.6759443313041855,13.588830994555689
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.008069455329019716,0.013511346364489661,0.1179684806878417,1.5561008800613407
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.012132195176976023,0.019012722146285153,0.1661540030569211,4.880533625938514
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.0076533045680768986,0.012713970103166498,0.1127059150850088,3.3601969689880007
