FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074491488577277e-06,8.498559754048996e-08,2.963446164945772e-09,6.1293676804614e-12
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159428446062282e-05,5.023498765121829e-06,1.2421586203780486e-06,2.268935508567342e-08
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290483158848037e-05,6.131042172847164e-06,1.7287798648935152e-06,4.4991996565558984e-08
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428514131766864e-05,2.5472953665696525e-05,1.02111808671323e-05,4.094717717914655e-07
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011736196102945101,4.809522595917242e-05,3.555216397248218e-05,2.81148491105079e-06
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024969860349215297,0.00014157554632176762,0.0001721119961068466,2.357223439000924e-05
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002766934822169404,0.00017788826153640323,0.00024019989969391778,3.7493660503681366e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004599401600169891,0.0003547592223757849,0.0006562432046915601,0.00015099985929444416
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008014997817303688,0.0007760928782411536,0.001757208262970583,0.00045609930193842864
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008907046474740483,0.0009893571160511365,0.0030429087935303035,0.0012030002538599865
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016153220174951635,0.0021248138721150066,0.00845042073282107,0.004381043916676184
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022009499266450352,0.0032297302544792373,0.014728578571437247,0.008683968698258535
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0027944851801616796,0.004328718360243306,0.022430707134891665,0.0156764949356558
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.002750514495003989,0.004546567134976846,0.03184216251947683,0.04512634324857712
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,0.005234099881631322,0.00968328807802407,0.08008055657615916,0.3072998385255133
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.006795660484756048,0.012196319036175376,0.1055814350095763,0.8226629865428985
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.008069455296283615,0.013511346541179473,0.11796848544749694,1.556100866955759
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.012132195166703085,0.019012722314084917,0.16615400494318805,4.880533628186543
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.05304199114469664,0.07897887494307568,0.6759443449776663,13.588830955352025
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.007653304480261108,0.012713970006282287,0.1127059139902417,3.3601969763093473
