FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825388471557505e-06,8.649893406572522e-08,2.9100738065308602e-09,5.612710597047833e-12
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.15942892286165e-05,5.0234999199173075e-06,1.2421647326753052e-06,2.2688044200832093e-08
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290483352559895e-05,6.1310429511772e-06,1.7287812524910521e-06,4.4991825960477834e-08
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428514005699108e-05,2.5472954677635305e-05,1.0211180685778027e-05,4.0947185459204795e-07
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011736194935051365,4.809522600737698e-05,3.5552164774150725e-05,2.8114892755143585e-06
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002496985864612891,0.00014157554701797244,0.00017211198666270222,2.3572248100884564e-05
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027669346500863143,0.00017788827212704764,0.00024019993337884036,3.749367074529861e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004599401407035773,0.0003547592457382311,0.0006562433393209059,0.0001509998462467455
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008014997493741341,0.0007760929717644577,0.0017572088205649017,0.00045609919987225824
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008907046212921721,0.000989357222431266,0.0030429097914377,0.001202999951083204
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016153219589769606,0.0021248140143579884,0.008450422918362512,0.004381043228694483
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022009498842965446,0.0032297306319010073,0.014728583115935927,0.008683966844597024
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002794485169979159,0.00432871891534079,0.022430713712928516,0.015676491956344907
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.002750514621079718,0.004546567612837475,0.03184216704504896,0.045126340195776264
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005104068501970288,0.009365158414301576,0.07804787497728968,0.3093391344642898
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.006795660731092711,0.012196319688303437,0.10558143836513546,0.8226629813449781
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.008069455446102993,0.013511346773601347,0.11796848527491081,1.5561008603165172
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.05304199072888115,0.07897887424729096,0.6759443375245557,13.588830975972053
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.012132195199488684,0.019012722297787246,0.16615400283647774,4.880533629479195
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.0076533045358259996,0.01271397005162285,0.11270591221554688,3.3601969778527128
