FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074524772406507e-06,8.498570308609095e-08,2.9635258601360734e-09,6.1161470157644374e-12
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159429360849826e-05,5.02350081367022e-06,1.242167252070617e-06,2.268728630058133e-08
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290483458719306e-05,6.131043253002718e-06,1.72878137386185e-06,4.499175353628457e-08
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428514122749725e-05,2.5472955734680788e-05,1.0211180930605228e-05,4.094718165609189e-07
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011736194696343436,4.80952266421899e-05,3.55521649526084e-05,2.8114900921245364e-06
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002496985837805135,0.00014157554945764492,0.00017211198716773633,2.3572251183796047e-05
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002766934644864383,0.0001778882760579048,0.00024019994313867387,3.749367591896871e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004599401418782587,0.0003547592535688562,0.0006562433731691444,0.0001509998532691724
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008014997485698529,0.0007760930096412166,0.0017572090156363354,0.00045609918230792045
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008907046163827478,0.0009893572676103646,0.0030429101741322327,0.0012029998545550575
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.001615321957164156,0.0021248140835699748,0.008450423753486936,0.004381042970990095
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002200949851327546,0.003229730554165896,0.014728583225902299,0.008683967046197996
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0027944851108073253,0.004328718720597793,0.022430712936968324,0.015676492813731634
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.002750514567263175,0.004546567476359344,0.031842166339413835,0.045126341327978575
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005104068486799717,0.009365158337166883,0.07804787384156352,0.30933913552292874
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.006795660721716864,0.012196319657423477,0.10558143805489129,0.8226629816492048
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.008069455487804928,0.013511346873908474,0.1179684864785296,1.556100854116128
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.053041991150840434,0.07897887504405753,0.6759443438198056,13.588830950760329
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.012132195202511641,0.019012722305286965,0.16615400241408584,4.880533631084941
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.0076533045249850655,0.012713970012078196,0.11270591122608786,3.3601969814002244
