FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253818582700694e-06,8.649885173291449e-08,2.9099030197746308e-09,1.429529957453829e-12,2.0669472055158047e-14,1.4275963051097286e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159432750794206e-05,5.02351023780444e-06,1.2421523292976545e-06,5.028239063270455e-09,6.740589166979996e-10,5.643479953277562e-10
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905087701631186e-05,6.131115921770753e-06,1.7288059462905573e-06,7.764129603626142e-09,1.4114702638832302e-09,8.81601751211466e-10
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707464940367135e-06,8.49866577388014e-08,2.963465495181992e-09,1.509725837208138e-12,1.2842293696991228e-08,1.5475564924348246e-14
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428827937882058e-05,2.547427764530271e-05,1.0211871527979423e-05,7.488074744316464e-08,1.9848427284681213e-08,1.3084719585186874e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738474385111213,4.810850133139931e-05,3.5564245615520287e-05,4.332055681826575e-07,2.3402679265877532e-07,1.3942787522298907e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498796161639638,0.0001417220449639898,0.00017233254369514154,3.4516553445045006e-06,3.265224524403729e-06,2.6722204177702416e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027698495773136647,0.0001781491570980629,0.00024063749933327257,5.563872654165307e-06,5.8326284545426965e-06,3.677455793342234e-06
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004609816527122436,0.000355854823274113,0.0006587563085562298,2.0102695351009538e-05,3.0461999816640607e-05,1.7867689943532773e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008049282706531242,0.0007805522883709865,0.001769747786980451,7.321461093312224e-05,0.0001174988468013688,7.708649516407003e-05
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008987085299830351,0.0010007825155166003,0.0030860163569954094,0.00016596340254732998,0.0004120228750408197,0.00025671961394282776
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016429813324917255,0.0021704981734762797,0.008668783724342972,0.0006284215487479764,0.0018928686839746593,0.0014564822085104921
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022539511825772577,0.0033255648937214883,0.015257564557636967,0.0014171369459306175,0.004487137698047749,0.0027599089280479156
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002884393104852941,0.004495838556698311,0.02345741651469224,0.002405212849621463,0.008768788161006898,0.0057863373377108895
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.00292801631641705,0.004877255776400039,0.034412755393366724,0.005584511991356888,0.04063117414286758,0.02416799263590845
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005538452674652757,0.01016700761782583,0.08600552687196879,0.02066892271751025,0.40851405908937244,0.3222728465305426
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008338327057070112,0.014436745925490945,0.12609920771583535,0.03200171413181819,1.0053907260969777,1.164756379912178
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012479311852834865,0.019995414514719166,0.1747130216915989,0.05418011057426602,2.08667498586278,2.115748797123787
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13656478034638656,0.20434910022710764,1.782491868207938,0.9198320945221107,19.415239788633883,8.906063749124936
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.013906149253609992,0.022419723560353592,0.19948989555859514,0.06257794197268458,3.3664425483335783,3.546470579088164
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.03073333366412406,0.04698558752946375,0.42274229549249603,0.17727019605282485,8.133978313719851,5.9990860701616295
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.016530933617454318,0.026103253498768443,0.23598128360154944,0.08565957457012892,5.722699231752742,5.054043157580899
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.03445286250749598,0.05225676026725498,0.47199408441891166,0.22980540823009324,13.150246208439178,6.695210336897834
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1000.0,20.0,1000.0,0.09827468494543569,0.1468355910940613,1.3150420057602827,0.7618397944643381,33.594901878172095,11.755432721443245
