FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253881689035406e-06,8.649891575850503e-08,2.9100648421270526e-09,1.4250066520057917e-12,1.9527353295683037e-14,1.3563720605987682e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594347132194506e-05,5.023514373411288e-06,1.2421676003255261e-06,5.02846339719796e-09,6.717615887447479e-10,5.624107218051431e-10
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905092187428756e-05,6.131116948912702e-06,1.7288075408527742e-06,7.764309769010071e-09,1.4108307361874685e-09,8.811497603648642e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428828595102888e-05,2.5474284020109115e-05,1.021187361243357e-05,7.488158247033584e-08,1.9846245195435604e-08,1.3083007677918205e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738471193058252,4.810850073987876e-05,3.556424003528899e-05,4.332075438256466e-07,2.3402641961891397e-07,1.394265796417571e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498795662448555,0.00014172204278459628,0.0001723325108523207,3.451658599697993e-06,3.265249396151932e-06,2.6722350175738867e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027698491121837157,0.00017814918317821427,0.00024063758896161579,5.56388040524201e-06,5.832659708679501e-06,3.6774736643141617e-06
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004609816035417531,0.0003558548820677123,0.0006587566607374572,2.0102708535903012e-05,3.046205692587745e-05,1.7867732500586493e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008049281760671192,0.0007805525595489297,0.0017697494170468963,7.32146644959525e-05,0.00011749885643037881,7.708655621266143e-05
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008987084339956963,0.001000782785175985,0.0030860192915168304,0.00016596354726504403,0.0004120222958064791,0.0002567193631985185
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016429811772657478,0.0021704986557678895,0.008668791195778435,0.0006284220309143536,0.0018928652546360114,0.0014564798717633062
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002253950877112162,0.0033255657461810644,0.015257580017276324,0.0014171381603230845,0.004487128308794976,0.002759903519576768
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002884392771512167,0.004495839647142523,0.023457436802876326,0.0024052147210922555,0.00876877427516116,0.005786328328954663
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.00292801641546205,0.004877256852136029,0.03441277187671769,0.005584514613317517,0.040631160541553434,0.024167977612349588
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005538452200791258,0.010167007276640041,0.08600553569119589,0.020668925233472663,0.40851408235441594,0.3222728229691527
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.00833832716400034,0.014436745913726946,0.12609920654836596,0.03200171260223566,1.0053906447384253,1.164756421083721
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012479312559223918,0.019995417130950738,0.17471305716764926,0.05418011745262406,2.0866749274697765,2.1157484951827237
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13656478724361035,0.20434911224990454,1.7824919696825983,0.9198320702496694,19.415239020835084,8.906063498254692
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.013906147694730139,0.02241972097175761,0.1994898754671477,0.06257794854626962,3.366443296537288,3.546471083397209
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.03073333705494952,0.04698559426462442,0.4227423679290787,0.17727019237804142,8.133977348458092,5.999085255596208
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.016530935541158264,0.026103256311376395,0.23598130122975827,0.08565956193234851,5.722698015649786,5.054042719656884
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.03445286331041044,0.052256763278821915,0.4719941310842637,0.22980543441263684,13.150246736669596,6.695210000746083
