FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825389448230977e-06,8.64989498221195e-08,2.9100851148869845e-09,1.4243843994256335e-12,1.9394527093170944e-14,1.3481002805576922e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159435248231922e-05,5.023515203179964e-06,1.2421713423322476e-06,5.028499074324696e-09,6.712770182021603e-10,5.62003852240945e-10
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.29050936662135e-05,6.131117374351664e-06,1.7288077545067678e-06,7.764328194769697e-09,1.410743248745225e-09,8.810882620066071e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428828712743672e-05,2.5474285212537433e-05,1.0211873817199572e-05,7.488164718686406e-08,1.9846033033101315e-08,1.3082841442887352e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738470889388255,4.81085013314804e-05,3.5564240484788625e-05,4.332077311169679e-07,2.3402632396384783e-07,1.3942641160604302e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024987956164633854,0.0001417220442431152,0.00017233251192708246,3.4516589037232006e-06,3.2652510526904638e-06,2.6722357049459303e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769849109369015,0.00017814918740313647,0.00024063760061410227,5.563881672871995e-06,5.832663923496171e-06,3.6774765532716883e-06
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.000460981603884393,0.00035585488931853354,0.0006587566967618696,2.0102711307207703e-05,3.046206976730792e-05,1.7867743312870653e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008049281723778292,0.0007805525919434833,0.0017697496214428372,7.321467522193554e-05,0.0001174988701942697,7.708657455764094e-05
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008987084244677355,0.0010007828225022226,0.0030860196757460587,0.0001659635704128184,0.0004120222471310952,0.00025671935481349177
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016429811605532477,0.00217049871370542,0.008668792107625585,0.0006284220983636649,0.001892864925516352,0.0014564796885849186
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022539508356480818,0.003325565641165638,0.015257580038380923,0.0014171382117242766,0.004487128527423009,0.0027599036117235973
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002884392707878161,0.004495839415904328,0.02345743581071859,0.0024052147232885173,0.008768775381452237,0.005786328971998147
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0029280163662999677,0.004877256716347319,0.03441277106959082,0.005584514614943275,0.04063116237804119,0.02416797883545083
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005538452189618638,0.010167007213869922,0.08600553470707568,0.02066892494015257,0.408514084753623,0.3222728255102616
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008338327160318112,0.014436745869425553,0.12609920599696112,0.0320017124181069,1.0053906371509926,1.1647564254184677
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012479312643608038,0.019995417405784775,0.1747130607835023,0.05418011813664897,2.0866749205782558,2.1157484594282083
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13656478786353493,0.20434911316592844,1.782491975635588,0.9198320623893564,19.415238882054155,8.90606346054877
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.013906147485473013,0.022419720599565998,0.1994898723693384,0.06257794926505446,3.3664433997650223,3.5464711532849753
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.03073333752819137,0.046985595157684815,0.42274237714545093,0.17727019094489976,8.133977195299067,5.999085142111392
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.01653093585100377,0.026103256741682353,0.23598130367354897,0.08565955964874952,5.722697810027527,5.054042647729567
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.03445286340427812,0.05225676365338077,0.47199413703655785,0.22980543711994791,13.150246784538867,6.69520995053684
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.1042581954818274,0.15588108126169328,1.39324203238961,0.8041320169235702,32.44244024903137,11.641652571543192
