FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253828319364624e-06,8.649888023127554e-08,2.9099720411707944e-09,3.0773495681943765e-12,4.3131710641844675e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159432462717151e-05,5.023509439938556e-06,1.2421534401429976e-06,1.146473783787214e-08,1.5067913311357658e-09
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290510608751312e-05,6.1311216023805506e-06,1.7288078987523566e-06,1.7797267984490492e-08,3.1608836104619838e-09
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.42883226468128e-05,2.5474297526140088e-05,1.0211881482054664e-05,1.477240988603815e-07,3.8147501359334585e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.0001173894746146749,4.8111258385162943e-05,3.5566691745956995e-05,1.0319791506986404e-06,5.431155513108003e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024989999816743113,0.00014173795355116402,0.00017235396208588658,8.756668254805435e-06,8.009152573419065e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770570853908009,0.00017821026503065385,0.00024073011082123184,1.3604667454809386e-05,1.3892083433488364e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004613753058841383,0.0003562401337003275,0.0006595381164683637,5.4255698485535885e-05,8.055017473903348e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008059087158943227,0.000781688246623494,0.0017723507269554926,0.00017115917946828064,0.0002666542136062757
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009017022538587393,0.0010045420546754124,0.0030974142878036175,0.00044242871639695947,0.0010779909814923362
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016494937357470105,0.0021794624851957313,0.00869730620488903,0.0016460660211546356,0.004832012960009771
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022659781687634963,0.0033429891704198703,0.01531472821287499,0.0033205706297088425,0.01032913187827749
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029028017594963256,0.004520771569865827,0.023517606394643117,0.006008829991349491,0.021744417062300445
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0028919473662942083,0.004783276448475424,0.03339525247495481,0.014228248880326658,0.11662037680743077
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005609470290460009,0.010108534563085553,0.0836088119985811,0.047770602714046186,1.0115629629801046
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008911484101896254,0.015001739914362815,0.12726499484595863,0.08185173993798434,2.6373973345135373
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.013543128590720046,0.021478050269896038,0.18533326971851122,0.12488905126703147,4.778090874572558
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.14724170534459224,0.22013879757735164,1.912779099977132,1.398881350856183,30.109549738569743
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.015097036170099668,0.024099538692605768,0.212252722059624,0.14648943076109994,7.907857520948134
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.033312201982885765,0.05078394694644889,0.454718560335534,0.3348160548445853,15.36212075648606
