FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707448941316313e-06,8.498558617132144e-08,2.9634430068120486e-09,3.2509006551341127e-12,4.720254297594004e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594338349628015e-05,5.02351222595345e-06,1.2421614505717632e-06,1.1464924259618013e-08,1.5033641251089547e-09
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290510918012227e-05,6.1311220195759206e-06,1.7288083057619034e-06,1.7797478785691093e-08,3.1600458419151693e-09
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428832873760386e-05,2.547430150134001e-05,1.0211881314876327e-05,1.4772494746860097e-07,3.8144768243531085e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738945872546294,4.8111258716782305e-05,3.556668834544117e-05,1.0319819265400569e-06,5.431143885247837e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024989997231915454,0.00014173795419783296,0.00017235394217730051,8.756674979578658e-06,8.009189103873178e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027705706260270924,0.0001782102805548984,0.00024073015764969796,1.3604679837466248e-05,1.3892131053275723e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004613752837359919,0.00035624017007442765,0.0006595382978785335,5.42557169578601e-05,8.055029874314867e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008059086645668873,0.0007816883987917488,0.0017723516700968362,0.00017115925423575137,0.00026665428978963897
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009017021958820939,0.0010045422112162248,0.0030974159620697074,0.0004424288870783997,0.0010779900665043082
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016494936526625936,0.002179462751189162,0.008697310746003044,0.001646066778249697,0.004832007851097251
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002265977949434152,0.0033429895448862205,0.01531473723325571,0.0033205723765968886,0.01032911929403635
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029028014824621115,0.004520772044964334,0.02351761868710677,0.006008832944382216,0.021744396709136422
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.002891947229880879,0.004783276826611713,0.03339526127701112,0.014228253171281732,0.11662035397628713
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005609470202462072,0.010108533831801936,0.0836088010936353,0.0477705967168322,1.0115630579235464
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008911484602064423,0.015001740081797731,0.12726498572117878,0.08185173051331435,2.6373971249892745
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.013543128369974036,0.021478051810793944,0.1853333033448939,0.12488908088498969,4.778091305418955
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.015097034942312557,0.02409953529969524,0.21225267893529676,0.14648941363782167,7.907858412828304
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.03331220197308618,0.05078394944700247,0.4547186131944179,0.3348161064356441,15.362121835784155
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.14724170766099642,0.22013880456421087,1.9127791873475222,1.398881376677162,30.10954987136402
