FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253883028127868e-06,8.649892034457625e-08,2.910066535640964e-09,3.0696323685737532e-12,4.1380226509931617e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159434361766519e-05,5.0235132484566635e-06,1.2421678154109617e-06,1.1465070871641363e-08,1.501505422121193e-09
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290511081752037e-05,6.131122693982924e-06,1.728809667599018e-06,1.779766741190453e-08,3.1593707017805057e-09
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.42883276880718e-05,2.5474302809471525e-05,1.0211881761279919e-05,1.4772550664535778e-07,3.814321464670188e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738944415485237,4.8111257455175404e-05,3.556668620986408e-05,1.0319838099889004e-06,5.431135626354161e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024989995113186455,0.00014173795080021126,0.00017235393017943503,8.756678773392743e-06,8.009206595203344e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770570406797133,0.00017821028836854653,0.00024073019587019033,1.3604688622129737e-05,1.3892154937386009e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046137525779413677,0.00035624018538470077,0.0006595384334269583,5.425573419787626e-05,8.055034768215651e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008059086223148827,0.000781688482127903,0.0017723522447227202,0.00017115930508503207,0.0002666542733349315
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009017021529699813,0.0010045423039230924,0.0030974169661446057,0.0004424290001869476,0.0010779894382458015
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.00164949355322513,0.002179462875072927,0.00869731320048735,0.001646067190652151,0.004832004906197651
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022659777893860875,0.003342989845277798,0.015314742835112626,0.0033205734756048357,0.010329111559251172
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029028013057493794,0.004520772518940623,0.0235176270517954,0.006008834829617616,0.021744382019329437
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.002891947362189643,0.004783277456906913,0.03339526849782596,0.014228254986220934,0.1166203369931333
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005609470088093627,0.010108534268300497,0.08360881202495746,0.04777060228646052,1.0115630319828197
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008911484514744663,0.0150017403047912,0.12726499392785615,0.0818517350741053,2.637397071455081
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.01354312827871682,0.021478051868612052,0.18533330856775876,0.12488908577234548,4.7780913380981
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1472417081415368,0.2201388047976911,1.9127791880519822,1.3988813863541472,30.109550000443853
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.015097034772962524,0.024099534849745977,0.21225267443191734,0.14648941323989392,7.907858515012969
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.03331220207038421,0.050783949467176896,0.4547186116534351,0.33481610488867064,15.362121822126845
