FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825389513501052e-06,8.649895127525158e-08,2.910086528724275e-09,3.0682392827213803e-12,4.10969686055099e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159434841429174e-05,5.023514140913534e-06,1.2421713397958822e-06,1.1465118872051374e-08,1.500468763958242e-09
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.29051123967252e-05,6.131123174668608e-06,1.7288099547180669e-06,1.7797706372546194e-08,3.1591679489601344e-09
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428832865321039e-05,2.5474303844511367e-05,1.0211881848179338e-05,1.477256198592307e-07,3.814281104142858e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738944196812286,4.81112584105197e-05,3.556668670395856e-05,1.0319843703737601e-06,5.431132529035914e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498999475011951,0.00014173795287212698,0.00017235393122859712,8.756679904852978e-06,8.009210834464529e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770570415690136,0.00017821029287414593,0.00024073020348182225,1.3604691482185724e-05,1.3892165558398152e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046137525967180503,0.00035624019370429925,0.0006595384634052384,5.425574066208995e-05,8.055038368254191e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008059086199307016,0.0007816885128430483,0.0017723524248875672,0.00017115932804438554,0.0002666543119795405
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009017021438997852,0.0010045423385849858,0.003097417314170782,0.0004424290487166988,0.0010779893099334714
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016494935335543992,0.0021794629209807206,0.008697314024016713,0.0016460673470516693,0.004832004160926001
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002265977765930872,0.003342989749838345,0.015314742629170852,0.003320573513349244,0.010329112266605364
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002902801280085499,0.004520772291939942,0.023517625421578245,0.006008834637562155,0.02174438599733023
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0028919473396335662,0.004783277365716272,0.033395267678762414,0.01422825475385817,0.11662034267479268
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.0056094700602988545,0.010108534203682048,0.08360881165462919,0.04777060218778357,1.0115630375439646
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.00891148456178868,0.015001740311393591,0.12726499322629298,0.08185173432193457,2.637397040434349
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.01354312824922537,0.02147805203096785,0.18533331252429677,0.12488908923758088,4.778091384826029
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1472417082243496,0.22013880519789028,1.9127791940585872,1.3988813875093375,30.10955001148559
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.015097034650777247,0.02409953449863449,0.21225267005859635,0.1464894117117153,7.907858616224341
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.03331220211202144,0.050783949966511546,0.45471862190701706,0.33481611442506587,15.362122073587612
