FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159432324000107e-05,5.023511295679896e-06,1.2421455772583844e-06,5.0281235811945535e-09,3.877470652985292e-10,6.3484285395594e-13,3.236371199018548e-10,3.32212474764096e-13
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.29050856886703e-05,6.131115311263289e-06,1.7288046582558044e-06,7.764076012781003e-09,6.536299487018375e-10,1.3495951087381767e-12,4.084523916953176e-10,5.151496119526363e-13
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428829858011165e-05,2.5474286063493735e-05,1.021187904043926e-05,7.488075294978693e-08,8.674468134700297e-09,2.8436040933183578e-11,5.725454960082313e-09,1.3063370366483322e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738497956110431,4.810864206974695e-05,3.556437793548626e-05,4.3320654850925783e-07,1.0583265867834435e-07,6.85330720755252e-10,6.342479639600466e-08,2.4141262847404774e-10
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024988307242852233,0.0001417249594361791,0.0001723371639955567,3.4517461654699127e-06,1.5422534963272833e-06,1.8686573413790147e-08,1.2698547038295193e-06,9.063486527698842e-09
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769914676145053,0.00017815515242351277,0.00024064792283192755,5.564112624068276e-06,2.712170041117973e-06,3.6215101641649275e-08,1.7227021585155653e-06,1.3393546648133195e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004610183250798474,0.00035589390331271513,0.0006588476038920796,2.010541130860073e-05,1.4556851911974484e-05,2.7787852862227085e-07,8.616134674793814e-06,8.660805286344156e-08
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050969442735782,0.0007807730056352192,0.0017703759041232288,7.323898937016219e-05,5.967426426135599e-05,1.335654821333661e-06,3.9480303871288065e-05,5.442535357885009e-07
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993293806767972,0.0010016581959366975,0.003089307746259606,0.0001661273622922256,0.00020944573577381422,7.389242653792323e-06,0.00013178815626931675,2.519944867619581e-06
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016464962891117284,0.002176284021509693,0.008696584869782231,0.0006301557971515352,0.0010263156832789027,4.8040028270027806e-05,0.0007980400115802229,2.152507870736297e-05
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022627538085954043,0.0033412907319608875,0.015344938712748722,0.0014239594513645692,0.0025176868167994496,0.00012630991764426484,0.0015652756601593262,4.696142119111626e-05
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029043497187343694,0.004532395490324594,0.02368222903869783,0.0024241602889541187,0.005037257918961513,0.0003104149847696712,0.003363379575107431,0.00011902962164947764
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030205844328954354,0.00504898248554728,0.0357686511798111,0.005798552714328426,0.02124994238490187,0.0029484066575015465,0.012868570616550615,0.0008085648469955065
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005846730303842941,0.011072746725296631,0.09822728113714999,0.024706087056013366,0.1423515375943598,0.05709441734255313,0.11092627860557082,0.027679654304613964
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008188225462389497,0.015080545031437667,0.14069547928554318,0.038484890188971756,0.29948267886447877,0.2976177662788955,0.32808252119779774,0.2069664157901873
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011134081581700693,0.01875328250476313,0.17375043927749304,0.05820143007709606,0.5208017882529448,0.955289221756187,0.5117398733363602,0.6553047322178595
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011970283439662282,0.02018953748184435,0.18880170919923098,0.0626273156155085,0.5985002084719655,1.782029259483811,0.6005484647870433,1.4163268728621
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12294978585925821,0.1845447976229337,1.6197220102803314,0.8353094243474567,6.903501284613579,9.858519641742555,3.1447068071215094,4.316388644180573
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.026651462337954776,0.04136701352006005,0.37987804869584096,0.15995884254206197,1.6440407734763653,4.72770152195112,1.1979227977528775,3.236274453227801
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.014147260674367052,0.023126886095780133,0.21761170300716226,0.08127880141105227,0.8430057001043446,3.3179879477901713,0.7055263099298362,2.4785674043036767
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.029953070207914104,0.04599903729529131,0.42275076649001914,0.20644850674086904,2.2418245507475767,8.134546051949993,1.1156420712106674,3.887626479418762
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09773239674721282,0.14646830826179108,1.3148415311784738,0.7589529871604279,7.589685785881244,21.02207415562201,2.4851269933491382,7.675355374367877
