FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825386055676729e-06,8.649894015557881e-08,2.910036822625265e-09,1.4263282570712868e-12,1.1840079264383249e-14,1.931401447165933e-18,8.171482759909678e-15,8.503831908425966e-19
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159434052244947e-05,5.0235128615651245e-06,1.242165687752515e-06,5.0284450618842015e-09,3.8683232291042903e-10,6.107253037609502e-13,3.228484491504286e-10,3.201462965420582e-13
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290508940791462e-05,6.131116534186615e-06,1.7288070530763413e-06,7.764266499933395e-09,6.534851026873541e-10,1.3433946104918791e-12,4.0834245580016617e-10,5.127065639155309e-13
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428829984167811e-05,2.5474290246514774e-05,1.0211879134905686e-05,7.488135729203718e-08,8.674148536932178e-09,2.8406973847531307e-11,5.725164713372942e-09,1.3049304964948392e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.0001173849388194295,4.810864315471691e-05,3.55643835169718e-05,4.3320838570729487e-07,1.0583402206504208e-07,6.851883813606884e-10,6.342530242076609e-08,2.413500968974316e-10
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498829970876106,0.00014172494860342145,0.0001723371729973798,3.451748301039299e-06,1.5422648334388533e-06,1.8685784698313688e-08,1.2698617549434574e-06,9.062919841987783e-09
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769914174730273,0.0001781551824926016,0.00024064803000027355,5.5641170500177975e-06,2.7121841733899123e-06,3.6214471453220765e-08,1.722710851485267e-06,1.3393151404291979e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046101827926230436,0.0003558939766004744,0.0006588479667238963,2.010542185138471e-05,1.4556910343788778e-05,2.778789968763598e-07,8.61617572179081e-06,8.660785288427081e-08
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050968492913914,0.000780773299642784,0.0017703780947329994,7.323909400004246e-05,5.9674417144836284e-05,1.335654734281508e-06,3.9480438234363e-05,5.442526755657709e-07
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993293128389066,0.001001658596163854,0.0030893119213184746,0.00016612763190216264,0.00020944590598405397,7.389224609821092e-06,0.00013178835729579127,2.51993917313973e-06
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.001646496101882199,0.0021762847545887492,0.00869659557950812,0.0006301566572884992,0.001026315366781302,4.8039815106436325e-05,0.0007980401574391118,2.1524989931426283e-05
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002262753435694856,0.0033412917613660264,0.015344957646850869,0.0014239612829695543,0.0025176846315805444,0.00012630921682526462,0.0015652749409365797,4.696117481840741e-05
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029043492858200153,0.004532396751147733,0.023682253017932975,0.0024241628795879217,0.00503725402917992,0.00031041344660857087,0.003363377927451308,0.0001190290550159606
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030205843152441535,0.005048983538545434,0.03576867081576096,0.005798556090623359,0.021249933202221113,0.0029484006230032934,0.012868562710351047,0.0008085630877250475
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005846729939371976,0.011072746387243107,0.09822728847121648,0.02470609008190263,0.14235155425796495,0.057094403799813426,0.1109262764880559,0.02767964738707792
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008188225407123075,0.015080544956634481,0.14069547870620358,0.038484888305118356,0.299482662657459,0.2976177862286911,0.3280825276859673,0.20696642528700185
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.01113408196700406,0.018753283250266147,0.17375044286902494,0.05820142490331221,0.5208017128470861,0.955289173604143,0.5117398409825926,0.6553047590527664
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1229497834951708,0.18454479204668978,1.6197219223813495,0.8353094004191445,6.903501237506729,9.858519795049704,3.1447070303544393,4.31638874742875
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011970283502704026,0.020189538036051415,0.18880171867822398,0.06262731937909258,0.5985002364987314,1.7820291575173786,0.6005484608376734,1.416326806784216
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.026651462105430387,0.04136701304774455,0.37987804104245504,0.15995884005313313,1.6440406992820231,4.727701820675316,1.1979227304060125,3.2362746303051804
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.014147260188102289,0.023126885243824467,0.21761169244587109,0.08127880094933145,0.8430056786682788,3.3179882314460043,0.7055263353790361,2.4785675062715615
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.0977323969943142,0.14646830870765382,1.3148415364455877,0.7589529904630262,7.589685801653274,21.02207415362025,2.485126998567351,7.675355404327062
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.029953070589984834,0.04599903833354002,0.4227507795321942,0.20644851055100455,2.2418245673019666,8.13454605129056,1.115641998255145,3.887626510253773
