FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159433940795946e-05,5.0235136350811355e-06,1.2421610085108263e-06,5.028383314456732e-09,3.870378485284628e-10,6.158409862669962e-13,3.2302411471458104e-10,3.227036795753754e-13
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290509218928276e-05,6.1311168092223495e-06,1.7288065043876403e-06,7.764213187409015e-09,6.535223949813064e-10,1.344929307040379e-12,4.083701777301141e-10,5.13309864677662e-13
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428830323760917e-05,2.5474289481292663e-05,1.0211877250967204e-05,7.488125848963682e-08,8.674215035623388e-09,2.8411916872834297e-11,5.72522690940798e-09,1.3051686652300259e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.0001173849615078917,4.8108643329819274e-05,3.5564378332111035e-05,4.3320824031111993e-07,1.0583404754469885e-07,6.852147801390697e-10,6.342545498877077e-08,2.4136180044607135e-10
0.01,0.01,0.01,0.009,0.01,0.1,0.01,0.01,0.009,5.0,0.1,5.0,2.705949333830504e-06,7.867236622507392e-08,2.5649763483556593e-09,1.168986519628999e-12,9.46566321677521e-15,1.434497656793106e-18,6.392188958230317e-15,1.6799704204044316e-10
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498830378060636,0.0001417249557320621,0.00017233713637220173,3.451747425670569e-06,1.542263617740583e-06,1.8685983753289763e-08,1.2698624728407367e-06,9.063061546974429e-09
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027699143651303154,0.0001781551654559541,0.00024064797667253164,5.564115769925321e-06,2.712179745513194e-06,3.621467750315918e-08,1.7227086365062123e-06,1.3393277777308064e-08
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825387700734464e-06,8.64989578761643e-08,2.910081982801815e-09,1.4249668340362617e-12,1.1700579023121747e-14,1.9799602621580854e-17,8.084709348717127e-15,7.792267336759687e-19
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.000461018297149161,0.00035589394383406584,0.0006588478328696742,2.0105420848055703e-05,1.455690724700528e-05,2.7787962194176596e-07,8.616175675586844e-06,8.660817578355449e-08
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050968865786537,0.0007807731989286701,0.0017703770294453286,7.32390251882798e-05,5.9674400143568614e-05,1.3356596097065433e-06,3.9480429822296334e-05,5.442550679076986e-07
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993293337937113,0.0010016583931830873,0.003089309791656519,0.00016612745831860544,0.00020944579914543223,7.389248932094174e-06,0.00013178825871970956,2.5199487345788832e-06
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.001646496196085811,0.002176284377001245,0.008696590378984048,0.0006301561412584089,0.0010263152888630893,4.8039954173887605e-05,0.0007980399061114621,2.152505953186444e-05
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022627535499091613,0.003341291191748087,0.015344949710586201,0.0014239603214905674,0.0025176848361103473,0.00012630954669638013,0.0015652746181956012,4.6961303101828046e-05
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002904349432566863,0.004532396046804678,0.02368224295709379,0.0024241616596557105,0.0050372552985443264,0.0003104141191732551,0.003363378011038741,0.00011902931675361734
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003020584332469747,0.0050489829123420635,0.03576866152883115,0.005798554565114966,0.021249937019858042,0.0029484036536509216,0.012868566187160025,0.0008085639454135484
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005846729581713034,0.011072745113161985,0.09822727778685762,0.024706090113091477,0.14235155522142107,0.0570944067175617,0.11092628425179275,0.027679653686312675
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008188225445141065,0.015080544970569033,0.14069547874819507,0.03848488802866863,0.2994826426192073,0.2976177900067398,0.3280825121461608,0.20696644210139886
