FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825389327813983e-06,8.649894723336775e-08,2.910083176047588e-09,1.4244464601117844e-12,1.1648643094720997e-14,1.6848183909325468e-18,8.052649662715828e-15,7.534400929949953e-19
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159435228726777e-05,5.023515114957963e-06,1.2421710386222805e-06,5.028495931733777e-09,3.8653207713971855e-10,6.041212860378942e-13,3.2259097981801043e-10,3.1685208239361334e-13
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905094513989514e-05,6.131117634497916e-06,1.7288078606777792e-06,7.76432651016446e-09,6.534252505794835e-10,1.3411449245428061e-12,4.082974979209025e-10,5.118235701997677e-13
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428830289581013e-05,2.547429216090293e-05,1.0211877755437818e-05,7.488167012364757e-08,8.674022988262277e-09,2.8394265586995013e-11,5.725054773695316e-09,1.3043163854321059e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738494121786053,4.81086427918899e-05,3.5564375944522475e-05,4.3320935333453114e-07,1.0583480120928663e-07,6.85130719101702e-10,6.342576450727316e-08,2.413252835736749e-10
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024988300811463213,0.00014172495475160758,0.00017233712483135348,3.4517494444912195e-06,1.5422732475526956e-06,1.86855698778316e-08,1.2698700713594006e-06,9.062761210579216e-09
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769914130126018,0.00017815518299506297,0.00024064803246877028,5.564121422961601e-06,2.7121983771615775e-06,3.621436525420227e-08,1.7227215557876201e-06,1.3393061537431502e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046101827136130105,0.000355893979505161,0.0006588480308980491,2.010543045707494e-05,1.4556951886706921e-05,2.778803602931312e-07,8.616208662674045e-06,8.660825632193225e-08
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008050968348127676,0.0007807733337904995,0.0017703779272731865,7.323906035150981e-05,5.9674470459753896e-05,1.3356611943881857e-06,3.948049493308243e-05,5.44255393222799e-07
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993292790032952,0.0010016585421216645,0.0030893113670067466,0.00016612753966209004,0.00020944584957087272,7.389249173261305e-06,0.0001317883243278104,2.519949412284637e-06
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016464960730191956,0.00217628458464261,0.008696594096335783,0.0006301564003954539,0.001026315076928829,4.80398941037087e-05,0.0007980398144862372,2.152503494998787e-05
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002262753358548588,0.0033412914271292024,0.01534495561041672,0.0014239608689979742,0.0025176842213967313,0.00012630935290765754,0.0015652743133721858,4.696123419864806e-05
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029043491984679357,0.004532396296864852,0.023682250344586063,0.002424162457008899,0.005037254169566617,0.00031041367154801446,0.0033633772487016624,0.00011902914365123784
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030205842373258545,0.005048983172248441,0.035768667944013996,0.0057985557224200755,0.021249934331073667,0.0029484018050887615,0.012868563322436953,0.0008085633353080877
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005846729809334848,0.011072745999544433,0.09822728497548201,0.024706089841797577,0.14235155802916444,0.057094400463612596,0.11092627750677511,0.027679648699150655
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008188225298036094,0.0150805448583781,0.14069547955380474,0.03848488770299887,0.299482651805579,0.29761779769796615,0.3280825264734043,0.20696643042072432
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011134082129640514,0.018753283802058512,0.1737504495624788,0.058201426138942296,0.5208017072215761,0.955289130087474,0.5117398103022662,0.6553047631085478
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12294978124758299,0.18454478707535668,1.6197218566270757,0.8353093975533015,6.903501208830155,9.858520540810131,3.1447071560909885,4.316388820580978
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011970283433637338,0.020189538278139678,0.18880172519053529,0.06262732361530261,0.5985002878359957,1.7820290822795797,0.6005484728485515,1.416326744175537
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02665146166909698,0.04136701199455441,0.3798780244676577,0.1599588291728564,1.6440405501153161,4.727702149028184,1.197922711338995,3.2362747976557595
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.014147259611508114,0.02312688420804262,0.21761167989438715,0.08127879981668701,0.8430056664775192,3.317988502685759,0.7055263889624463,2.4785675540948433
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.02995307127411126,0.045999039226432656,0.4227507861043323,0.2064484933517827,2.241824336082775,8.134546033294502,1.1156418958032475,3.8876266411421914
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09773239835104831,0.14646831028399365,1.3148415501266415,0.7589529950620421,7.589685886559787,21.02207417651172,2.4851270789176065,7.675355445720545
