FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594323256647445e-05,5.023509233247505e-06,1.2421522353557786e-06,1.1464701450391424e-08,8.680836335039809e-10,1.3850964095820394e-12
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290510740272373e-05,6.131122030539548e-06,1.7288082168450526e-06,1.7797255088928483e-08,1.4673614151242466e-09,2.971233432897436e-12
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707465915593029e-06,8.498669901063398e-08,2.963467594302443e-09,3.2532040343935364e-12,2.216148730377989e-09,1.7554474540841876e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428833849374072e-05,2.5474304075422543e-05,1.0211883746380535e-05,1.4772386663785713e-07,1.6716962857620966e-08,5.368542307229417e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738981446595639,4.811146435265012e-05,3.556689012340627e-05,1.0319845926980407e-06,2.4638267648213807e-07,1.5611025725069489e-09
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024990464314250655,0.0001417418763372501,0.0001723601867849189,8.756978387340366e-06,3.7991478985773212e-06,4.477146303835201e-08
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027706657636936914,0.00017821901296220037,0.0002407453287980225,1.3605519995880596e-05,6.4833180818275005e-06,8.463463015718472e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004614363581762344,0.0003563051537638787,0.0006596897707014669,5.426777355875637e-05,3.864819833904577e-05,7.233127625448491e-07
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061389718536002,0.0007819892419237928,0.0017732059242241947,0.00017123671887706414,0.00013611252567189647,2.967258566492151e-06
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009026973488798898,0.0010059404329660424,0.0031026408439230255,0.0004431052048692206,0.0005518106312335328,1.9040683500823072e-05
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016544952026451023,0.002187649266408484,0.008736301514046328,0.0016522798881156257,0.0026404996746252937,0.00012006384864393755
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022783087486759894,0.0033648424363498554,0.015434600921920774,0.0033417034227764737,0.005837462872873986,0.0002860830558453168
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029317907846475788,0.004573293674324275,0.023834704338552667,0.006071577196886441,0.012558045925292801,0.0007587312999021297
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030441335029584415,0.005064762729209658,0.035569344758121485,0.014951768481764579,0.05846070283341662,0.008737481953776723
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005952248620710164,0.011156770115713373,0.09728631240533812,0.05731157000852551,0.33520405708162515,0.14472599072241174
0.01,0.01,0.01,0.009,0.01,0.1,0.01,0.01,0.009,5.0,0.1,5.0,2.7059514361750042e-06,7.867243581450579e-08,2.5650289181552217e-09,2.6320453958946776e-12,2.0733582351397856e-14,5.588501589394017e-17
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.00863665678366816,0.015581835360614946,0.14196069344403042,0.0960046989554854,0.7499837898380077,0.7877460220069861
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012188476902902482,0.020208012341762692,0.18350999620201372,0.1295796324179562,1.1495441497694758,2.1233479067272376
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.01336109711842709,0.022237844450256977,0.20444787267071668,0.14440237914817816,1.3717637590297174,4.019335908505974
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13479049222421344,0.20210273648749028,1.7655643174168911,1.2947873944442767,10.683103772169229,15.568102357399159
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02973264572549325,0.045994322588228186,0.41980635353367096,0.3123639157227613,3.1845363844937156,9.064290708881499
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.016019105793263027,0.025948377931280322,0.24112809281886133,0.17583392845770987,1.8125909240011373,6.998744094071727
