FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707448752264948e-06,8.498558158085697e-08,2.9634433328553328e-09,3.2510166535943345e-12,2.7542592890322853e-14,4.688770998595331e-18
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159433777197652e-05,5.023512134265996e-06,1.242160713157414e-06,1.1464905789128412e-08,8.668023287916344e-10,1.3546136345512555e-12
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.29051103242604e-05,6.1311223771764046e-06,1.7288083904530775e-06,1.7797461095133243e-08,1.4671416111196581e-09,2.963055258686096e-12
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428834677191616e-05,2.547430926304381e-05,1.0211885486861386e-05,1.4772493735156798e-07,1.6716380582079818e-08,5.36349077443847e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738979707920049,4.8111464351827484e-05,3.556688510640678e-05,1.0319872867932788e-06,2.4638446193999603e-07,1.5608683629300974e-09
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024990461348232127,0.00014174187439282664,0.00017236016419558062,8.756984831824817e-06,3.799175855016384e-06,4.476989729062801e-08
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027706655146559397,0.00017821902879247206,0.00024074537777347293,1.360553257769763e-05,6.4833593700224255e-06,8.463355986360483e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046143632980076153,0.00035630518195185334,0.000659689969588893,5.426779037574173e-05,3.864828106083195e-05,7.233138408292093e-07
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061389176519584,0.0007819894014284184,0.0017732069133654786,0.0001712367984358002,0.0001361128056434765,2.9672665535180484e-06
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009026972865323012,0.0010059405748849965,0.0031026425680420926,0.0004431054057810085,0.0005518108060080247,1.90407005330344e-05
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016544951367037121,0.00218764959757873,0.00873630645510592,0.0016522805828856674,0.0026404985563441372,0.00012006366493791428
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022783084747548094,0.003364842774708282,0.015434610502609343,0.0033417052343793527,0.005837459499334042,0.0002860822958163808
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029317903591161614,0.004573293961417486,0.02383471700541791,0.006071580559853775,0.012558040677215821,0.0007587293511064487
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003044133372975278,0.0050647630900881755,0.0355693536371934,0.014951772358878788,0.05846069347476623,0.008737475127611104
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,0.006096004837265284,0.011500060532227376,0.0992015686237491,0.05732545572966925,0.32713567466600746,0.1421657973512492
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008636657124293819,0.015581835994543197,0.14196069531341288,0.09600469618471515,0.7499837110488535,0.7877460780977334
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012188477687243784,0.020208014447768055,0.18351001565853833,0.12957963825114222,1.1495440954261145,2.1233476904598074
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.013361096769657016,0.02223784453869324,0.20444788081860624,0.14440239448587994,1.371763925002723,4.019335900876413
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.02973264686848699,0.04599432477672938,0.41980637578729174,0.3123639087040816,3.1845361649733652,9.064290530076866
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13479049392051304,0.20210273914189544,1.765564328358441,1.2947873347310215,10.683103142167619,15.568102946539529
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.016019105655629366,0.025948377375916442,0.24112808136191197,0.1758339115044165,1.8125906166267132,6.9987445255342005
