FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825388148454448e-06,8.64989159227367e-08,2.910063712343633e-09,3.0698194032277714e-12,2.4853174903572267e-14,3.6881227188909055e-18
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707450849567602e-06,8.498571644886406e-08,2.9634998915339168e-09,3.248863219986128e-12,2.7294031005926806e-14,3.0255267029098673e-13
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159434272155743e-05,5.023513471047994e-06,1.2421673022718822e-06,1.146507227613302e-08,8.66161369265859e-10,1.3398044190850103e-12
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290511199956551e-05,6.13112308006887e-06,1.7288098771364841e-06,1.779766614822656e-08,1.4669688584833472e-09,2.9565754239381696e-12
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428834545805881e-05,2.547431057725631e-05,1.0211885934957649e-05,1.477255449471215e-07,1.671607193622477e-08,5.360984915560799e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738978184040916,4.811146333242223e-05,3.556688368286176e-05,1.0319895500653736e-06,2.4638579362971427e-07,1.5607171756973744e-09
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024990459287207827,0.00014174187433644184,0.00017236015317386087,8.756990432162925e-06,3.7991980805387005e-06,4.476900758052242e-08
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770665298120522,0.00017821903846798408,0.00024074541586657327,1.3605542473824981e-05,6.483387278521502e-06,8.463290339627364e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004614363060948262,0.00035630520481748297,0.0006596901074993193,5.4267808208402805e-05,3.864837395446382e-05,7.233150005787842e-07
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061388748538957,0.0007819895012235545,0.001773207507237522,0.00017123684467689927,0.00013611294976074298,2.9672688418098832e-06
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009026972429870483,0.0010059406730203013,0.003102643629791591,0.0004431055236933386,0.0005518108420340846,1.904069654109326e-05
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.001654495025767794,0.0021876496972055614,0.008736308886006327,0.0016522810275677567,0.0026404982779975944,0.00012006355218764533
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022783082944762786,0.0033648430668175647,0.015434616249778262,0.0033417063324417476,0.005837457445272767,0.0002860817866968473
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029317901269978876,0.004573294347611125,0.02383472507107177,0.0060715824355881765,0.012558036531630163,0.0007587280265462472
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.00304413324399006,0.0050647634077226,0.03556936078434761,0.014951775177528617,0.05846068548195324,0.008737469404361006
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.00595224849969509,0.011156769779295802,0.09728631065839972,0.05731157046865023,0.3352040743537136,0.1447259727378017
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008636656711245224,0.015581835349118068,0.14196069470927591,0.09600469642804405,0.7499837298031472,0.78774607253277
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012188477540529532,0.020208014084914617,0.18351001306996545,0.1295796361080688,1.1495440863259891,2.1233476569849286
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13479049429305434,0.20210273911558102,1.765564321357486,1.2947873393447935,10.68310329546219,15.56810286698255
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.013361096604428717,0.022237844320615457,0.2044478815418259,0.144402397953625,1.3717639582152763,4.019335906757018
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.029732646970702298,0.045994324868989286,0.419806374999109,0.3123639058512273,3.184536132628818,9.064290537938795
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.016019105658492922,0.025948377294579675,0.2411280793990934,0.1758339088776705,1.8125905701421285,6.998744587694268
