FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253894387283777e-06,8.649895100956096e-08,2.910084993817795e-09,3.0683461256194607e-12,2.4712518752961774e-14,3.5208361223269564e-18
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.15943482664082e-05,5.023514207149372e-06,1.2421710347850845e-06,1.1465114922068475e-08,8.657281783006439e-10,1.3308457507455304e-12
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905113315751426e-05,6.131123461414696e-06,1.7288100529168504e-06,1.7797706467618667e-08,1.4669155919566374e-09,2.954851546012978e-12
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428834664358618e-05,2.547431178172551e-05,1.021188615221115e-05,1.4772567367168973e-07,1.6715978349044154e-08,5.360326671719749e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738977882269852,4.8111463960480245e-05,3.556688440337489e-05,1.031990076127865e-06,2.4638604413739544e-07,1.5606804752012046e-09
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002499045889549555,0.00014174187589094397,0.00017236015371999174,8.75699139609982e-06,3.7992016494139826e-06,4.476877053036274e-08
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027706652951310835,0.0001782190427728576,0.00024074542712899363,1.3605546049526517e-05,6.483396939298597e-06,8.463276954989621e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046143630610468854,0.0003563052114118301,0.0006596901412178656,5.426781603710892e-05,3.864840394361467e-05,7.23315705696736e-07
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061388707433565,0.0007819895316338243,0.0017732077032268456,0.00017123687058522144,0.0001361130153559434,2.9672707388545943e-06
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009026972308311494,0.0010059407045517354,0.0031026439901300764,0.00044310557744119144,0.0005518109237912541,1.9040701397541847e-05
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016544950047676682,0.002187649746292407,0.00873630976798972,0.0016522811898524183,0.002640498270160533,0.00012006353340961295
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002278308261615001,0.0033648429559915314,0.01543461609766119,0.0033417064036122225,0.005837458008023318,0.0002860818525544493
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029317900753228683,0.00457329411431227,0.023834723935484654,0.006071582466124007,0.012558038238280082,0.0007587282955493225
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0030441332124125967,0.005064763291569406,0.035569359917062685,0.014951775134000702,0.05846068791619775,0.008737470328912736
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005952248480105698,0.011156769722861913,0.09728631031092276,0.05731157046352949,0.3352040754579919,0.14472597230017728
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008636656700674929,0.0155818353271527,0.14196069468030473,0.09600469627879321,0.7499837269527311,0.7877460771163017
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012188477609316037,0.020208014255994222,0.18351001511751613,0.12957963742716985,1.149544093208613,2.123347623682909
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1347904943629607,0.20210273905090462,1.7655643180766905,1.2947873305495572,10.683103214255086,15.568102947133097
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.013361096545164739,0.022237844299385582,0.2044478827903996,0.14440240101946458,1.3717639994283402,4.019335895092492
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.029732647134413245,0.04599432511433427,0.4198063766775157,0.31236390316191603,3.184536083848573,9.064290518853705
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.01601910562117046,0.02594837708056819,0.24112807516590662,0.17583390375312583,1.8125904957689312,6.998744696931729
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1000.0,20.0,1000.0,0.10029206107555778,0.15027972336714965,1.3491234770655027,1.0180494997405976,10.381490564635433,31.633039855702492
